"uf","sg_ue","ano_eleicao_bocel","nome_fonte","titular","id_mandato_sapl","url","observacao"
"TO","73571","2016","DIRCINEU FRANCISCO BOLINA","TRUE","29","https://sapl.pugmil.to.leg.br/api/parlamentares/mandato/29/","“Saiu em novembro de 2018 para assumir o cargo de Prefeito Interino, sendo substituído pelo parlamentar MARLEY BARBACENA. Retornou ao cargo de vereador em janeiro de 2019, e em 02/02/2020 foi eleito para cargo de prefeito na Eleição Suplementar, cuja posse ocorreu em 14/02/2020.”"
"TO","93653","2000","Maria Carmélia Aguiar Pinheiro","TRUE","45","https://sapl.formosodoaraguaia.to.leg.br/api/parlamentares/mandato/45/","Suplente que assumiu o mandato como Vereadora."
"TO","93858","2004","Antonio Sávio B. do Nascimento - (Sávio Barbalho)","TRUE","220","https://sapl.gurupi.to.leg.br/api/parlamentares/mandato/220/","Exerceu a função de vereador no lugar do Vereador Cabo Carlos - (Titular), no período de maio a julho de 2008, na qualidade de 1º Suplente da Coligação Gurupi Para Todos (PDT / PT)."
"TO","93858","2004","João Gomes da Silva - (Pastor João Gomes)","TRUE","218","https://sapl.gurupi.to.leg.br/api/parlamentares/mandato/218/","Exerceu a função de vereador no lugar do Vereador Kita Maciel - (Titular), no período de setembro a novembro de 2007, na qualidade de 1º Suplente da Coligação Gurupi Quer Mudança (PMDB / PFL / PRP)."
"TO","96679","1996","GERALDO RIBEIRO DA SILVA","FALSE","52","https://sapl.figueiropolis.to.leg.br/api/parlamentares/mandato/52/","***Suplente que assumiu o mandato durante a Legislatura***"
"TO","96679","2000","JAKELINE PEREIRA DOS SANTOS","FALSE","46","https://sapl.figueiropolis.to.leg.br/api/parlamentares/mandato/46/","***Suplente que assumiu o mandato durante a Legislatura***"
"TO","96679","2004","DIONISIO CARVALHO DE BARROS","FALSE","35","https://sapl.figueiropolis.to.leg.br/api/parlamentares/mandato/35/","***Suplente que assumiu o mandato na Legislatura***"
"TO","96679","2008","MARIA ROSA CORREIA","FALSE","23","https://sapl.figueiropolis.to.leg.br/api/parlamentares/mandato/23/","***Suplente que assumiu o mandato na Legislatura 2009/2012***"
"TO","96997","1996","ARY RODRIGUES","TRUE","29","https://sapl.barrolandia.to.leg.br/api/parlamentares/mandato/29/","ELEITO
Fonte de Dados: TSE"
"TO","96997","1996","JAMES DE OLIVEIRA LAGES","TRUE","26","https://sapl.barrolandia.to.leg.br/api/parlamentares/mandato/26/","ELEITO POR MÉDIA
Fonte de Dados: TSE"
"TO","96997","1996","JOÃO FERREIRA FILHO","TRUE","30","https://sapl.barrolandia.to.leg.br/api/parlamentares/mandato/30/","ELEITO 
Fonte de Dados: TSE"
"TO","96997","1996","ROMILDO CORREIA","TRUE","28","https://sapl.barrolandia.to.leg.br/api/parlamentares/mandato/28/","ELEITO 
Fonte de Dados: TSE"
"TO","96997","1996","SABINO GOMES DA SILVA NETO","TRUE","27","https://sapl.barrolandia.to.leg.br/api/parlamentares/mandato/27/","ELEITO POR MÉDIA
Fonte de Dados: TSE"
"TO","96997","2012","GILENE AQUINO SILVA","TRUE","64","https://sapl.barrolandia.to.leg.br/api/parlamentares/mandato/64/","VEREADORA ELEITA"
"TO","96997","2016","GILENE AQUINO SILVA","TRUE","73","https://sapl.barrolandia.to.leg.br/api/parlamentares/mandato/73/","VEREADORA ELEITA"
