ano_eleicao,id_mandato,nome_bocel,nome_urna
2002,M2002_SP_7_65611_6969,ANNA MARIA MARTINS SOARES,ANNA MARTINS
2002,M2002_SP_7_13123_6238,JOSÉ PRADO DE ANDRADE,ZICO
2006,M2006_SP_7_23123_10185,DAVID ZAIA,DAVID ZAIA
2006,M2006_SP_7_13123_12692,JOSÉ PRADO DE ANDRADE,ZICO
2010,M2010_SP_7_13123_250000001240,JOSÉ PRADO DE ANDRADE,ZICO
2018,M2018_SP_7_50900_250000601542,MÔNICA CRISTINA SEIXAS BONFIM,MONICA DA BANCADA ATIVISTA
2018,M2018_SP_7_17067_250000613419,OSCAR CASTELO BRANCO DE LUCA,CASTELO BRANCO
