"rodada","amostra","na_amostra_40","idx","id_mandato_bocel","data_diario","confianca","evento_inferido","evento_ancorado","metodo_pareamento","motivo_rebaixamento","nome","correto","motivo_erro","trecho"
"regra_final_29082026","30_alta","TRUE","16","M2016_61239_13_15678_250000060293","2019-08-20","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"JAIR ARCANJO DA SILVA",1,"NA","1°- Fica decretada a <<cassação>> do mandato do vereador JAIR ARCANJO DA SILVA – MDB- pela quebra de decoro parlamentar na sua conduta pública, conforme preconiza o artigo 7°, inciso III do Decreto Lei – Federal n° 201/1967, bem como artigos 45 e 46 da Lei Orgânica deste Município, artigo 78, inciso II do Regimento Interno desta Casa de Leis e artigo 38, inciso III da Constituição Federal. Artigo 2°- Comunique-se a Justiça Eleitoral o resultado do processo de <<cassação>> tramitado nesta Casa de"
"regra_final_29082026","30_alta","TRUE","17","M2008_92410_11_25_6371","2012-05-08","alta","afastamento","afastamento","nome_completo_no_trecho",NA,"FELIX VALUAR DE SOUSA BARROS",1,"NA","CONSIDERANDO, a Liminar Concedida pelo Exmo. Sr. Juiz de Direito Álvaro Nascimento Cunha, na Ação Civil Pública n.º 2012.0003.6050-8/0 em que o Ministério Público promoveu em face de Félix Valuar de Sousa Barros e Outros, onde determinou o <<afastamento do Prefeito>> Félix Valuar de Sousa Barros e a posse imediata do Vice-Prefeito o Sr. AMILTON ALVES CARDOSO; CONSIDERANDO, a imperiosa necessidade de adequar o primeiro escalão da atual administração, bem como a necessidade de dar uma resposta a população"
"regra_final_29082026","30_alta","TRUE","18","M2020_58130_11_12_190001150041","2023-07-17","alta","falecimento","falecimento","nome_completo_no_trecho",NA,"JOSÉ BONIFÁCIO FERREIRA NOVELLINO",1,"NA","DE JULHO DE 2023 | EDIÇÃO 734 | CADERNO I DECRETO Nº 7.123, DE 17 DE JULHO DE 2023. Declara luto oficial pelo <<falecimento do Prefeito>> do Município José Bonifácio Ferreira Novellino. A PREFEITA EM EXERCÍCIO DO MUNICÍPIO DE CABO FRIO, no uso das atribuições que lhe confere o art. 62 c/c o art. 147 da Lei Orgânica Municipal, CONSIDERANDO o <<falecimento do Prefeito>> José Bonifácio Ferreira Novellino, ocorrido nesta data; CONSIDERANDO que “Zezinho”, como era conhecido na Cidade"
"regra_final_29082026","30_alta","TRUE","19","M2016_35157_13_51123_50000014954","2019-02-02","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"EWERTON CARNEIRO DA COSTA",1,"NA","Interno nos seus artigos 131/132 e 142, resolve: CONVOCAR de imediato o Suplente de vereador SR. JOSAFÁ RAMOS DOS SANTOS para tomar posse no cargo de vereador pela coligação composta com os seguintes partidos: PTB/PRP/PV/PEN/PHS, em decorrência da <<renúncia>> do vereador Ewerton Carneiro da Costa, tendo em vista que o mesmo foi eleito para o cargo de Deputado Estadual. PUBLIQUE-SE, REGISTRE-SE E CUMPRA-SE. Gabinete da Presidência da Câmara Municipal de Feira de Santana, 01 de"
"regra_final_29082026","30_alta","TRUE","20","M2016_35157_13_51123_50000014954","2019-02-05","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"EWERTON CARNEIRO DA COSTA",1,"NA"," O Presidente da Câmara Municipal de Feira de Santana, Estado da Bahia, no uso de suas atribuições regimentais atendendo o que dispõe o Regimento Interno nos seus artigos 131/132 e 142, resolve: CONVOCAR de imediato o <<Suplente de vereador>> SR. JOSAFÁ RAMOS DOS SANTOS para tomar posse no cargo de vereador pela coligação composta com os seguintes partidos: PTB/PRP/PV/PEN/PHS, em decorrência da renúncia do vereador Ewerton Carneiro da Costa, tendo em vista que o mesmo foi eleito"
"regra_final_29082026","30_alta","FALSE","21","M2024_58335_13_11222_190001940076","2025-01-29","alta","afastamento","afastamento","nome_completo_no_trecho",NA,"GIORGIO CARVALHO MONTEIRO",1,"NA","dia quinze de janeiro de dois mil e vinte e cinco, às catorze horas, reuniu-se a Câmara Municipal de Duque de Caxias, no Plenário Vilson Campos Macedo, onde compareceu o Excelentíssimo Senhor Sérgio de Souza Costa, que, por ser o Primeiro <<Suplente de Vereador>> pelo Partido Progressistas (PP), foi convocado pela Mesa Diretora / Mesa Executiva para tomar posse como Vereador em face do afastamento do Excelentíssimo Vereador Giorgio Carvalho Monteiro (Giorgio Monteiro), do PP, que assumiu o cargo"
"regra_final_29082026","30_alta","FALSE","22","M2020_70718_13_40660_250000929669","2024-06-24","alta","licenca","licenca","nome_completo_no_trecho",NA,"BENEDITO FURTADO DE ANDRADE",1,"NA","(Requerimento C.E.V. nº 04/2024 – Processo nº 4.397/2024). JEAN RODRIGUES TEIXEIRA SECRETÁRIO LEGISLATIVO A Mesa Diretora, na 23ª Sessão Ordinária, reali- zada em 25 de abril de 2024, promulga o seguinte: RESOLUÇÃO Nº 11 21 DE JUNHO DE 2024 <<LICENÇA DO VEREADOR>> BENEDITO FURTADO DE ANDRADE, E DÁ OUTRAS PROVIDÊNCIAS Art. 1º Fica concedida a licença para tratar de assuntos de interesse particular, no período de 25/04/2024 a 26/04/2024 ao Vereador Benedito Furtado de Andrade, na forma do inciso III"
"regra_final_29082026","30_alta","FALSE","23","M2016_90670_11_15_110000007470","2017-08-21","alta","licenca","licenca","nome_completo_no_trecho",NA,"EMANUEL PINHEIRO",1,"NA"," sessão solene no Plenário das Deliberações da Câmara Municipal de Cuiabá, compareceu o Senhor Niuan Ribeiro Roberto, Vice-Prefeito do município de Cuiabá, para assumir o cargo de Prefeito Municipal de Cuiabá, tendo em vista a <<licença do Prefeito>> Municipal Excelentíssimo Senhor Emanuel Pinheiro nos termos do Art. 39 da Lei Orgânica do Município. O Presidente da Câmara Municipal de Cuiabá no uso da palavra saudou os presentes e convidou o empossado a se aproximar, fazer a entrega"
"regra_final_29082026","30_alta","FALSE","24","M2024_58335_13_15123_190002000014","2025-01-29","alta","afastamento","afastamento","nome_completo_no_trecho",NA,"SERGIO ALBERTO CORREA DA ROCHA",1,"NA","quinze de janeiro de dois mil e vinte e cinco, às catorze horas, reuniu-se a Câmara Municipal de Duque de Caxias, no Plenário Vilson Campos Macedo, onde compareceu o Excelentíssimo Senhor Eduardo Anderson Goes Lopes, que, por ser o Primeiro <<Suplente de Vereador>> pelo Movimento Democrático Brasileiro (MDB), foi convocado pela Mesa Diretora / Mesa Executiva para tomar posse como Vereador em face do afastamento do Excelentíssimo Vereador Sérgio Alberto Corrêa da Rocha (Serginho), do MDB, que assumiu"
"regra_final_29082026","30_alta","FALSE","25","M2020_70718_13_40660_250000929669","2022-09-26","alta","licenca","licenca","nome_completo_no_trecho",NA,"BENEDITO FURTADO DE ANDRADE",1,"NA","1138/2022. JEAN RODRIGUES TEIXEIRA SECRETÁRIO LEGISLATIVO A Câmara Municipal de Santos aprovou, na 52ª Sessão Ordinária realizada, em 13 de setembro de 2022, e a Mesa Diretora promulga a seguinte: RESOLUÇÃO Nº 17 13 DE SETEMBRO DE 2022 <<LICENÇA DO VEREADOR>> BENEDITO FURTADO DE ANDRADE E DÁ OUTRAS PROVIDÊNCIAS Art. 1º Fica concedida licença para tratar de interesse particular, no período de 12/09/22 a 16/09/2022, ao Vereador Benedito Furtado de An- drade, na forma do inciso III, do artigo 73"
"regra_final_29082026","30_alta","FALSE","26","M2020_90514_13_45123_120001151837","2023-05-24","alta","licenca","licenca","nome_completo_no_trecho",NA,"JOÃO BATISTA DA ROCHA",1,"NA","Interno, em decorrência da licença do vereador João Batista da Rocha. Após, usou da palavra o senhor João Batista da Rocha, vereador licenciado. Ato contínuo, o senhor Cláudio Jordão de Almeida Serra Filho realizou a entrega do diploma de <<suplente de vereador>>, conferido pelo Tribunal Regional Eleitoral de Mato Grosso do Sul (TRE-MS), da declaração de bens e da declaração de que não possui incompatibilidade para o exercício do mandato. Prosseguindo, o senhor Cláudio Jordão de Almeida Serra Filho"
