ano_eleicao,leg,nome_grupo,nome_normalizado,id_mandato,id_pessoa,sq_cand,metodo,nome_completo,dt_nasc,partido_tse,k,k_pu,condicao
2018,"19","FERNANDO PESSOA","FERNANDO PESSOA","M2018_MA_7_77800_100000601180","BOCEL0193320","100000601180","nome_parlamentar_x_urna","FERNANDO PORTELA TELES PESSOA","1991-07-10","SOLIDARIEDADE","FERNANDO PESSOA","FERNANDO PESSOA","titular"
2018,"19","GLALBERT CUTRIM","GLALBERT CUTRIM","M2018_MA_7_12123_100000601759","BOCEL0193982","100000601759","nome_parlamentar_x_urna","GLALBERT NASCIMENTO CUTRIM","1988-11-01","PDT","GLALBERT CUTRIM","GLALBERT CUTRIM","titular"
2018,"19","HELIO SOARES","HELIO SOARES","M2018_MA_7_22222_100000601738","BOCEL0003493","100000601738","nome_parlamentar_x_urna","HELIO OLIVEIRA SOARES","1952-06-06","PR","HELIO SOARES","HELIO SOARES","titular"
2018,"19","JOTA PINTO","JOTA PINTO",NA,NA,"100000601208","suplente_nome_parlamentar_x_urna","JOSE BENEDITO PINTO","05/11/1964",NA,"JOTA PINTO","JOTA PINTO","suplente"
2018,"19","LUIZ HENRIQUE LULA DA SILVA","LUIZ HENRIQUE LULA DA SILVA",NA,NA,"100000616298","suplente_nome_parlamentar_x_urna","LUIS HENRIQUE SILVA DE SOUSA","09/01/1959",NA,"LUIZ HENRIQUE LULA DA SILVA","LUIZ SILVA","suplente"
2018,"19","MARCELO TAVARES","MARCELO TAVARES","M2018_MA_7_40123_100000601753","BOCEL0084990","100000601753","nome_parlamentar_x_urna","MARCELO TAVARES SILVA","1971-09-20","PSB","MARCELO TAVARES","MARCELO TAVARES","titular"
2018,"19","MARCIO HONAISER","MARCIO HONAISER","M2018_MA_7_12012_100000601754","BOCEL0001566","100000601754","nome_parlamentar_x_urna","MARCIO JOSE HONAISER","1967-04-04","PDT","MARCIO HONAISER","MARCIO HONAISER","titular"
2018,"19","MARCOS CALDAS","MARCOS CALDAS",NA,NA,"100000605353","suplente_nome_parlamentar_x_urna","MARCOS ANTONIO DE CARVALHO CALDAS","09/02/1966",NA,"MARCOS CALDAS","MARCOS CALDAS","suplente"
2018,"19","MICAL DAMASCENO","MICAL DAMASCENO","M2018_MA_7_14000_100000605363","BOCEL0082690","100000605363","nome_parlamentar_x_urna","MICAL SILVA DAMASCENO","1971-01-14","PTB","MICAL DAMASCENO","MICAL DAMASCENO","titular"
2018,"19","NETO EVANGELISTA","NETO EVANGELISTA","M2018_MA_7_25678_100000601782","BOCEL0172874","100000601782","nome_parlamentar_x_urna","JOSE ARIMATEA LIMA NETO EVANGELISTA","1988-06-08","DEM","NETO EVANGELISTA","NETO EVANGELISTA","titular"
