tabela,uf,fonte,sg_ue,nome_municipio_fonte,unidade_gestora,cargo_bocel,nome_fonte,nome_bocel,nome_urna_bocel,exercicio,ano_eleicao,data_inicio,data_fim,forma_saida,metodo_pareamento,id_mandato_bocel,id_pessoa_bocel,m_cd,m_ue,m_ano,m_ini,m_fim,url
"A","BA","tcmba_quadro_geral_prestacao_contas","35076","ENCRUZILHADA","Prefeitura de ENCRUZILHADA","PREFEITO","IVANI ANDRADE FERNANDES SANTOS","IVANI ANDRADE FERNANDES SANTOS","IVANI ANDRADE","2010","2008",NA,NA,"nao_observado","nome_completo_eleicao","M2008_35076_11_14_12841","BOCEL0168156","11","35076","2008","2009-01-01","2012-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2010&ent=P&muni=00122&des="
"A","SP","tcesp_responsaveis_contas_irregulares","61336","AMERICO BRASILIENSE","CAMARA MUNICIPAL DE AMERICO BRASILIENSE","VEREADOR","APARECIDO CRISTIANO DOS SANTOS","APARECIDO CRISTIANO DOS SANTOS","CIDÃO DA FONTERI","2011","2008",NA,NA,"nao_observado","nome_completo_eleicao","M2008_61336_13_25625_67081","BOCEL0252647","13","61336","2008","2009-01-01","2012-12-31","https://www.tce.sp.gov.br/relacao-de-responsaveis-por-contas-julgadas-irregulares"
"A","BA","tcmba_quadro_geral_prestacao_contas","39039","SENTO SE","Prefeitura de SENTO SÉ","PREFEITO","ANA LUIZA RODRIGUES DA SILVA PASSOS","ANA LUIZA RODRIGUES DA SILVA PASSOS","ANA PASSOS","2020","2016",NA,NA,"nao_observado","nome_completo_eleicao","M2016_39039_11_55_50000021076","BOCEL0234415","11","39039","2016","2017-01-01","2020-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2020&ent=P&muni=00369&des="
"A","BA","tcmba_quadro_geral_prestacao_contas","35890","IRAQUARA","Câmara de IRAQUARA","VEREADOR","DELANO DE MATOS VIANA","DELANO DE MATOS VIANA","DELANO","2017","2016",NA,NA,"nao_observado","nome_completo_eleicao","M2016_35890_13_25000_50000021589","BOCEL0212666","13","35890","2016","2017-01-01","2020-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2017&ent=C&muni=00586&des="
"A","RJ","dados_abertos_prestacao_contas_municipio","58025","QUATIS","PREFEITURA MUNICIPAL DE QUATIS","PREFEITO","ALUÍSIO MAX ALVES D'ELIAS","ALUÍSIO MAX ALVES D ELIAS","ALUÍSIO D ELIAS","2022","2020",NA,NA,"nao_observado","nome_completo_eleicao","M2020_58025_11_20_190000848119","BOCEL0231692","11","58025","2020","2021-01-01","2024-12-31","https://dados.tcerj.tc.br/api/v1/prestacao_contas_municipio"
"A","ES","ckan_es_julgamento_de_contas_vereadores","56898","Santa Leopoldina","CAMARA MUNICIPAL DE SANTA LEOPOLDINA","VEREADOR","Angela Maria Schultz Leppaus","ANGELA MARIA SCHULTZ LEPPAUS","ANGELA DO TINO","2014","2012",NA,NA,"nao_observado","nome_completo_eleicao","M2012_56898_13_23123_80000009143","BOCEL0015887","13","56898","2012","2013-01-01","2016-12-31","https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270"
"A","SP","tcesp_responsaveis_prestacao_contas_repasses","61280","BERTIOGA","PREFEITURA MUNICIPAL DE BERTIOGA","PREFEITO","LAIRTON GOMES GOULART","LAIRTON GOMES GOULART","DR LAIRTON","2005","2004",NA,NA,"nao_observado","nome_completo_eleicao","M2004_61280_11_22_3","BOCEL0230913","11","61280","2004","2005-01-01","2008-12-31","https://www.tce.sp.gov.br/relacao-de-responsaveis-por-contas-julgadas-irregulares"
"A","ES","ckan_es_julgamento_de_contas_vereadores","56758","Muqui","CAMARA MUNICIPAL DE MUQUI","VEREADOR","WALLESON CLAUDIO PETINI ALVES","WALLESON CLAUDIO PETINI ALVES","CLAUDINHO DO SÃO DOMINGOS","2023","2020",NA,NA,"nao_observado","nome_completo_eleicao","M2020_56758_13_25680_80001204304","BOCEL0112540","13","56758","2020","2021-01-01","2024-12-31","https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270"
"A","BA","tcmba_quadro_geral_prestacao_contas","34231","CANARANA","Prefeitura de CANARANA","PREFEITO","REINAN OLIVEIRA SANTOS","REINAN OLIVEIRA SANTOS","REINAN OLIVEIRA","2016","2012",NA,NA,"nao_observado","nome_completo_eleicao","M2012_34231_11_13_50000016180","BOCEL0199928","11","34231","2012","2013-01-01","2016-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2016&ent=P&muni=00074&des="
"A","SP","tcesp_responsaveis_contas_irregulares","71919","TIETE","CAMARA MUNICIPAL DE TIETE","VEREADOR","ADEMIR SERGIO TORREZAN","ADEMIR SERGIO TORREZAN","TORREZAN","2001","2000",NA,NA,"nao_observado","nome_completo_eleicao","M2000_71919_13_25619_79","BOCEL0172960","13","71919","2000","2001-01-01","2004-12-31","https://www.tce.sp.gov.br/relacao-de-responsaveis-por-contas-julgadas-irregulares"
"A","BA","tcmba_quadro_geral_prestacao_contas","30937","GAVIAO","Prefeitura de GAVIÃO","PREFEITO","LAURINDO NAZARIO DA SILVA","LAURINDO NAZÁRIO DA SILVA","LAURINDO NAZÁRIO","2023","2020",NA,NA,"nao_observado","nome_completo_eleicao","M2020_30937_11_55_50000771178","BOCEL0114976","11","30937","2020","2021-01-01","2024-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2023&ent=P&muni=00135&des="
