"idx","amostra","na_amostra_40","id_mandato_bocel","id_municipio_ibge","data_diario","confianca","evento_inferido","evento_ancorado","metodo_pareamento","motivo_rebaixamento","nome","url_diario","trecho"
1,"30_alta",TRUE,"M2012_90514_13_13113_120000002788","5002704","2015-01-23","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"JOSÉ ORCÍRIO MIRANDA DOS SANTOS","https://data.queridodiario.ok.org.br/5002704/2015-01-23/291309483421fc781f99e37407b80f3ba6d16616.pdf","Arleon Carlos Stelini, Alberto Kalache, Marcelo Barbosa Alves Vieira, Sebastião Rolon Neto, Gianni Yara da Costa Lessa dos Santos. DIOGRANDE n. 4.195PÁGINA 11 - sexta-feira, 23 de janeiro de 2015 CONVOCAÇÃO Em decorrência do pedido de <<RENÚNCIA do Vereador>> JOSÉ ORCÍRIO MIRANDA DOS SANTOS, protocolizado nesta Casa, e com base no art. 99 do Regimento Interno deste Poder, convoco o suplente MARCOS ALEX AZEVEDO DE MELLO, eleito no pleito realizado no dia 07 de outubro de 2012, para assunção à"
2,"30_alta",TRUE,"M2020_70718_13_17123_250001090497","3548500","2023-06-19","alta","licenca","licenca","nome_completo_no_trecho",NA,"RUI SERGIO GOMES DE ROSIS","https://data.queridodiario.ok.org.br/3548500/2023-06-19/49f3338a3aeaf9c5bb0e59b72d3fe0c7da69471b.pdf","SECRETÁRIO LEGISLATIVO 19 de junho de 2023 Diário Oficial de Santos64 A Câmara Municipal de Santos aprovou, na 32ª Sessão Ordinária realizada, em 30 de maio de 2023, e a Mesa Diretora promulga a seguinte: RESOLUÇÃO Nº 13 16 DE JUNHO DE 2023 <<LICENÇA DO VEREADOR>> RUI SÉRGIO GOMES DE ROSIS E DÁ OUTRAS PROVIDÊNCIAS Art. 1º Fica concedida licença sem remuneração, para tratar de interesse particular, no período de 06/06/2023 a 20/06/202, ao Vereador Rui Sérgio Gomes de Rosis – UNIÃO BRASIL, na forma do"
3,"30_alta",TRUE,"M2020_58130_11_12_190001150041","3300704","2023-07-18","alta","falecimento","falecimento","nome_completo_no_trecho",NA,"JOSÉ BONIFÁCIO FERREIRA NOVELLINO","https://data.queridodiario.ok.org.br/3300704/2023-07-18/c39b73671dc7edb2d15bcfc5a25994391e70ddba.pdf","Municipal de Educação de Cabo Frio, no uso das suas atribuições legais, em atendimento ao disposto no Edital SEME nº 055/2023 e considerando o Decreto Nº 7.124 de 17 de julho de 2023, que declarou ponto facultativo nessa data em razão do <<falecimento do Prefeito>> José Bonifácio Ferreira Novellino, torna pública Errata ao Edital SEME nº 061/2023, para retificação das datas constantes na redação dos itens 2. e 3.8. ONDE SE LÊ: 2. CONVOCA os candidatos a comparecerem no dia 17/07/2023 às 8h e"
4,"30_alta",TRUE,"M2016_90514_13_15777_120000007205","5002704","2017-02-17","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"PAULO SIUFI NETO","https://data.queridodiario.ok.org.br/5002704/2017-02-17/7f4cb5ce8cb01d12ba1db4fa2089e5ff990bb5c6.pdf","cargo de Prefeita do Município de Dourados-MS. Sendo o que se apresenta na oportunidade, queira aceitar os meus sinceros votos de estima e consideração. Campo Grande-MS, 6 de fevereiro de 2017. PAULO SIUFI Vereador DESPACHO Recebo o pedido de <<RENÚNCIA>> do Vereador PAULO SIUFI NETO, a partir de 7 de fevereiro de 2017, reconhecendo a sua legitimidade posto que fundamentado no Art. 101 do Regimento Interno (Resolução n. 1.109/2009). Publique-se no Diário Oficial do Município de Campo Grande-MS"
5,"30_alta",TRUE,"M2012_72257_13_43007_250000038738","3556206","2016-08-19","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"CÉSAR ROCHA ANDRADE DA SILVA","https://data.queridodiario.ok.org.br/3556206/2016-08-19/a43105fa5abcc5e769903c54befacefa1e8d4112.pdf","Eleitoral de São Paulo, nos autos da Petição nº 7-04.2016.6.26.0000, datada de 15 de agosto de 2016 e recebida por esta Presidência na presente data. RESOLVE: Art. 1º. São suspensos os efeitos do Ato nº 04 de 04 de agosto de 2016, que declarou a <<perda do mandato>> eletivo do vereador César Rocha Andrade da Silva, decretada pela Justiça Eleitoral. Art. 2º. Este Ato entra em vigor nesta data. Câmara Municipal de Valinhos, aos 16 de agosto de 2016. Publique-se. Sidmar Rodrigo Toloi Presidente Publicado"
6,"30_alta",TRUE,"M2016_90670_11_15_110000007470","5103403","2017-08-21","alta","licenca","licenca","nome_completo_no_trecho",NA,"EMANUEL PINHEIRO","https://data.queridodiario.ok.org.br/5103403/2017-08-21/afddd5bf9fbcee6e3a6e4fc83e4a1cddbe92ddd9.pdf"," sessão solene no Plenário das Deliberações da Câmara Municipal de Cuiabá, compareceu o Senhor Niuan Ribeiro Roberto, Vice-Prefeito do município de Cuiabá, para assumir o cargo de Prefeito Municipal de Cuiabá, tendo em vista a <<licença do Prefeito>> Municipal Excelentíssimo Senhor Emanuel Pinheiro nos termos do Art. 39 da Lei Orgânica do Município. O Presidente da Câmara Municipal de Cuiabá no uso da palavra saudou os presentes e convidou o empossado a se aproximar, fazer a entrega"
7,"30_alta",TRUE,"M2024_62294_13_11777_250002126618","3506508","2025-07-17","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"JOSÉ FERMINO GROSSO","https://data.queridodiario.ok.org.br/3506508/2025-07-17/05677910023bbcef0d300ff48191eb468224a0af.pdf","artigo 8º, § 1º, do Decreto-lei 201/67; artigo 25, inciso IX, da Lei Orgânica do Município de Birigui; e artigo 26, inciso III, alínea “d”, da Resolução 216/98 (Regimento Interno da Câmara Municipal de Birigui), RESOLVE Art. 1º - Declarar a <<perda do mandato>> eletivo do Vereador JOSÉ FERMINO GROSSO, em razão da suspensão de seus direitos políticos, nos termos da decisão proferida pela 10ª Câmara de Direito Criminal do Tribunal de Justiça de São Paulo, nos autos da Ação Penal 1002160-41"
8,"30_alta",TRUE,"M2024_58572_13_44777_190001953012","3302908","2025-06-03","alta","licenca","licenca","nome_completo_no_trecho",NA,"ANDERSON DE SOUZA SARPA SANTOS","https://data.queridodiario.ok.org.br/3302908/2025-06-03/af00463a407529d60048efed78404f36cefc28fb.pdf","conforme o art. 83 do Regimento da Câmara Municipal de Miguel Pereira c/c o art. 44, § 1º, da Lei Orgânica Municipal, RESOLVE: Art. 1º CONVOCAR o suplente de vereador pelo União Brasil – UNIÃO, Exmo. Sr. CLEVERTON DA SILVA SALVADO, em razão da <<licença do Vereador>> Anderson de Souza Sarpa Santos, nomeado para ocupar o cargo de Secretário Municipal de Proteção e Defesa dos Animais, nos termos do Decreto “P” n.º 713, de 2 de junho de 2025. Parágrafo Único. O suplente convocado tomará posse no prazo"
9,"30_alta",TRUE,"M2020_58130_11_12_190001150041","3300704","2023-07-18","alta","falecimento","falecimento","nome_completo_no_trecho",NA,"JOSÉ BONIFÁCIO FERREIRA NOVELLINO","https://data.queridodiario.ok.org.br/3300704/2023-07-18/c39b73671dc7edb2d15bcfc5a25994391e70ddba.pdf","Municipal de Educação de Cabo Frio, no uso das suas atribuições legais, em atendimento ao disposto no Edital SEME nº 055/2023 e considerando o Decreto Nº 7.124 de 17 de julho de 2023, que declarou ponto facultativo nessa data, em razão do <<falecimento do Prefeito>> José Bonifácio Ferreira Novellino, 1. DIVULGA na presente data, em anexo, listagem com os resultados das análises dos currículos e documentos dos candidatos inscritos no Processo Seletivo por Análise de Currículo para os cargos de Auxiliar"
10,"30_alta",TRUE,"M2024_58530_13_13613_190002066763","3302700","2025-03-17","alta","licenca","licenca","nome_completo_no_trecho",NA,"JORGE LUIZ CORDEIRO DA COSTA","https://data.queridodiario.ok.org.br/3302700/2025-03-17/89db388bcdb9fe57a5940ba740b8115d2eccd3a7.pdf","Vereador, a Senhora CHISTIANE DE LIMA CORREA BOTELHO – PT - eleito em 06 de ou- tubro de 2024 e diplomado pelo Tribunal Eleitoral do Estado do Rio de Janeiro, no Gabinete da Presidência, a fim de tomar posse em vaga decorrente do pedido de <<licença do Vereador>> Jorge Luiz Cordeiro da Costa - PT, que ocupará a Secretaria de Relações Internacionais. A Suplente empossou-se nesta data, prestando compromisso e pos- se, atendendo ao que preceitua o art. 91 § 1º, da Lei Orgânica do Mu- nicípio, e entrou"
