leg_primeira,ano_eleicao,n_bocel,n_pareados,n_titulares_api,n_suplentes_exerceram,taxa_pareamento
51,1998,27,27,27,23,1
52,2002,54,54,55,34,1
53,2006,27,27,28,23,1
54,2010,54,54,57,37,1
55,2014,27,27,27,21,1
56,2018,54,54,56,30,1
57,2022,27,27,27,12,1
