"idx","amostra","na_amostra_40","id_mandato_bocel","id_municipio_ibge","data_diario","confianca","evento_inferido","evento_ancorado","metodo_pareamento","motivo_rebaixamento","nome","url_diario","trecho"
14,"30_alta",TRUE,"M2016_17590_13_13123_200000010091","2408003","2019-01-30","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"MARIA ISOLDA DANTAS DE MOURA","https://data.queridodiario.ok.org.br/2408003/2019-01-30/6ec53b75e3837505b4a13d5a48785deba4461182.pdf","Regimento Interno desta Casa de Leis; O PRESIDENTE EM EXERCÍCIO DA CÂMARA MUNICIPAL DE MOSSORÓ, no uso de suas atribuições legais, RESOLVE: Art. 1° Declarar extinto o mandato da Senhora Vereadora Maria Isolda Dantas de Moura, conforme o Pedido de <<Renúncia>> nº 001/2019. Art. 2º Convocar o Suplente de Vereador Gilberto Rego Diógenes,conforme disposto no Art. 325, § 2º do Regimento Interno, para tomar posse como Vereador da Câmara Municipal de Mossoró, no prazo de 15 dias a contar da data desta convocação"
15,"30_alta",TRUE,"M2024_35157_13_22444_50001956470","2910800","2026-06-11","alta","licenca","licenca","nome_completo_no_trecho",NA,"ISMAEL BASTOS DE SANTANA","https://data.queridodiario.ok.org.br/2910800/2026-06-11/82cc0493387ae290131f387197e1295a3e7d254b.pdf","especial o que dispõe o Regimento Interno da Casa no inciso II, do artigo 142, convoca o primeiro suplente de Vereador pelo Partido Liberal (PL), o Sr. Fabiano Nascimento de Souza, para tomar posse no cargo de Vereador, em virtude do pedido de <<licença do Vereador>> Ismael Bastos de Santana, desde hoje, 10 de junho de 2026, sem vencimento, conforme art. 128, I, do Regimento Interno desta Casa Legislativa. Publique-se. Registre-se. Cumpra-se. Gabinete da Presidência da Câmara Municipal de Feita de"
16,"30_alta",TRUE,"M2016_74837_13_22000_160000017776","4104303","2018-04-13","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"SIDNEY RONALDO RIBEIRO","https://data.queridodiario.ok.org.br/4104303/2018-04-13/2fdc5c9782425758cc2c3131287af5dca166bc34.pdf","membros, abaixo especificados, da Comissão Especial constituída para auditar as contas da Previscam – Previdência dos Servidores Públicos Municipais de Campo Mourão, nos termos da Portaria nº 51/2018, alterada pela Portaria 59/2018, em razão da <<renúncia do Vereador>> Sidney Ronaldo Ribeiro. • Edoel Rocha; • Elvira Maria Schen Lima; • Miguel Batista Ribeiro; • Roberto Cruz Mendes. Art. 2º - Esta Portaria entra em vigor na data de sua publicação. Edson Battilani - Presidente PORTARIA"
17,"30_alta",TRUE,"M2008_90670_13_15007_1928","5103403","2009-11-19","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"LUTERO PONCE DE ARRUDA","https://data.queridodiario.ok.org.br/5103403/2009-11-19/f8f6eb1c8faaac6dcaa399551226d57f4c1d26eb.pdf","Extraordinária dos Vereadores, convocada em 13/11/2009, julgando previstas o art. 20, § 2o da Lei Orgânica do Município, art. 90, §§ Io, 2o, art.91, ITT e art. 94 do Regimento Interno da Câmara Municipal de Cuiabá, determinou a Perda de Mandato em face de <<Cassação>> do Vereador Lutero Ponce de Arruda. C O N SID ER A N D O que a conclusão da Comissão Processante foi pela P R O C E D Ê N C IA DA A CU SA ÇÃ O , com fulcro no inciso 1, do artigo 7o, do Decreto- Lei n° 201/67, cm v irtu d e de co n corrência"
18,"30_alta",TRUE,"M2004_41238_11_13_82","3106200","2005-10-14","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"FERNANDO DAMATA PIMENTEL","https://data.queridodiario.ok.org.br/3106200/2005-10-14/41f937456d8e1fb11968bdd15e6b7fb62ecdfc9c.pdf","Interno - RI. Solicitou à Líder do Governo, Vereadora Neusinha Santos, atenção quanto à competência para propor as mudanças na LPOUS. 3) VANDERLEI MIRANDA: ressaltou matéria veiculada na imprensa de que o Vereador Délio Malheiros iria solicitar a <<cassação>> do Prefeito Fernando Damata Pimentel. Anunciou que, em 19/9/05, filiou-se ao PMDB. 4) HENRIQUE BRAGA: falou sobre a realização, pela Igreja do Evangelho Quadrangular, do Grande Clamor a Deus, ocorrido na Praça Sete. Comentou que foi aprovado na"
19,"30_alta",TRUE,"M2008_54011_13_40696_55180","3170107","2011-03-23","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"ANTONIO DOS REIS GONÇALVES LERIN","https://data.queridodiario.ok.org.br/3170107/2011-03-23/d9f4bce33d74606d83ac1cbd5884b11f24e4df9b.pdf","Francisco de Assis Barbosa, e, neste momento, convida para ocupar o lugar o Senhor José Antônio Fernandes Cardoso. TERMO DE POSSE: Aos 14 dias do mês de fevereiro de 2011, na sala da Presidência da Câmara Municipal de Uberaba, em face de pedido de <<renúncia>> ao mandato, requerido pelo Vereador Antônio dos Reis Gonçalves Lerin, por ter sido eleito Deputado Estadual nas eleições de outubro de 2010, compareceram o Presidente da Câmara Municipal de Uberaba, Luiz Humberto Dutra, e, na condição de suplente"
20,"30_alta",TRUE,"M2016_72257_13_25000_250000016667","3556206","2019-11-01","alta","licenca","licenca","nome_completo_no_trecho",NA,"ALDEMAR VEIGA JUNIOR","https://data.queridodiario.ok.org.br/3556206/2019-11-01/2b02ed7ddc85a3cb3480ab71e9f4ce3d44c8e3ca.pdf","Comissão de Justiça e Redação e a Comissão de Higiene e Saúde. DALVA DIAS DA SILVA BERTO, Presidente da Câmara Municipal de Va- linhos, no uso de suas atribuições legais, com base no art. 36 do Regimento Interno da Câmara, Considerando <<licença do vereador>> Aldemar Veiga Júnior pelo período de 25 de outubro a 24 de novembro de 2019; RESOLVE: Art. 1º. É designado, com base no art. 36 do Regimento Interno da Câmara, em substituição ao vereador licenciado Aldemar Veiga Júnior, o vereador Eder"
21,"30_alta",FALSE,"M2016_68314_13_45777_250000042917","3536505","2019-06-13","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"EDNILSON CAZELLATO","https://data.queridodiario.ok.org.br/3536505/2019-06-13/2e57dee6fbf49c3cbd48a4caeac2c2d889859fe3.pdf","EXECUTIVO A CONSTRU- ÇÃO DE UMA QUADRA DE BOCHA NO COMPLEXO ESPORTIVO DO BAIRRO MORUMBI.”; 2ª PARTe - oRdeM do diA 01) LEITURA E CONSULTA AO PLENÁRIO SOBRE O RECEBIMENTO DE DE- NÚNCIA APRESENTADA PELO CIDADÃO GERSON PEREIRA DE SOUZA, QUE PEDE A <<CASSAÇÃO>> DO MANDATO DO VEREADOR EDNILSON CAZELLATO – DU CAZELLATO. 02) DISCUSSÃO ÚNICA E VOTAÇÃO DE SOLICITAÇÃO DO EXECUTIVO, SO- BRE A TRAMITAÇÃO EM REGIME DE URGÊNCIA DO PROJETO DE LEI COM- PLEMENTAR Nº 04/19, DO EXECUTIVO QUE, DISPÕE SOBRE A INCORPORA-"
22,"30_alta",FALSE,"M2024_75353_13_11511_160002073986","4106902","2026-08-21","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"LORENS DE LIMA NOGUEIRA","https://data.queridodiario.ok.org.br/4106902/2026-08-21/6a14c3a8bdefcda8ac217cfacf575e1d11955a24.pdf","Leonidas Edson Kuzma : Presidente ATO DA MESA Nº 8 A MESA DA CÂMARA MUNICIPAL DE CURITIBA, no uso de suas atribuições regimentais e nos termos do art. 22, II e § 2º, da Lei Orgânica do Município de Curitiba, Resolve: Art. 1º Decreta a <<perda do mandato>> do Vereador Lórens de Lima Nogueira, nos termos do art. 10, inciso I; do art. 10, inciso III, combinado com o art. 11, incisos II, XII e XIV; e do art. 10, inciso III, combinado com o art. 12, todos do Código de Ética e Decoro Parlamentar da"
23,"30_alta",FALSE,"M2020_70718_13_13678_250001084151","3548500","2022-10-06","alta","licenca","licenca","nome_completo_no_trecho",NA,"FRANCISCO JOSÉ NOGUEIRA DA SILVA","https://data.queridodiario.ok.org.br/3548500/2022-10-06/7d6f1770309c0d27a5b44e9caefadd93ef71985e.pdf","VEREADOR 6 de outubro de 2022 Diário Oficial de Santos60 A Câmara Municipal de Santos aprovou, na 54ª Sessão Ordinária realizada, em 20 de setembro de 2022, e a Mesa Diretora promulga a seguinte: RESOLUÇÃO Nº 19 05 DE OUTUBRO DE 2022 <<LICENÇA DO VEREADOR>> FRANCISCO JOSÉ NOGUEIRA DA SILVA, E DÁ OUTRAS PROVIDÊNCIAS Art. 1º Fica concedida licença para tratar de interesse particular, no período de 22/09/22 a 06/10/2022, ao Vereador Francisco José Nogueira da Silva, na forma do inciso III, do artigo"
