chave_cand,comp_raiz,id_pessoa_esperado,leitura_fusao
2004_07099_13_14614_131,r5497,BOCEL0017246,
2008_07099_12_45_492,r5497,BOCEL1559652,
2008_07099_13_43433_2800,r5497,BOCEL0017246,
2000_77755_13_14680_47,r55300,BOCEL1560866,
2000_77755_13_15888_64,r55300,BOCEL0136817,
2004_77755_13_15888_34,r55300,BOCEL0136817,
2008_77755_13_15888_34588,r55300,BOCEL0136817,
2000_77992_13_15607_173,r55449,BOCEL0109445,
2004_77992_13_23111_135,r55449,BOCEL1560685,
2008_77992_11_23_2086,r55449,BOCEL0109445,
2000_79030_11_45_161,r56054,BOCEL0042239,
2000_79030_13_45622_166,r56054,BOCEL1560040,
2000_79413_13_11111_192,r56291,BOCEL0097277,
2004_79413_12_45_264,r56291,BOCEL1560600,
2000_79855_13_45555_355,r56553,BOCEL0115376,
2004_79855_13_45678_218,r56553,BOCEL1560730,
2000_80250_13_25010_263,r56915,BOCEL1559474,
2008_80250_11_15_13102,r56915,BOCEL0002700,
2012_80250_11_15_240000000330,r56915,BOCEL0002700,
2000_07277_13_14611_188,r5714,BOCEL0028060,
2000_07277_13_14666_189,r5714,BOCEL1560906,
2000_81132_13_11258_50,r58004,BOCEL0096672,
2004_81132_12_11_66,r58004,BOCEL1560593,
2000_81159_13_15660_580,r58029,BOCEL0035865,
2004_81159_13_15660_379,r58029,BOCEL0035865,
2008_81159_13_15660_9521,r58029,BOCEL0035865,
2020_81159_13_15240_240000751868,r58029,BOCEL1560885,
2000_07390_13_25616_56,r5857,BOCEL1559865,
2012_07390_13_13444_100000020305,r5857,BOCEL0030268,
2016_07390_13_13444_100000005487,r5857,BOCEL0030268,
2024_07390_13_13444_100002284011,r5857,BOCEL0030268,
2000_81833_13_12000_175,r58851,BOCEL1560093,
2000_81833_13_12333_179,r58851,BOCEL0014413,
2014_SC_6_2323_240000000475,r58851,BOCEL0014413,
2018_SC_6_2323_240000609622,r58851,BOCEL0014413,
2022_SC_6_2323_240001611938,r58851,BOCEL0014413,
2024_81833_11_23_240002017944,r58851,BOCEL0014413,
2000_81892_13_15612_126,r58904,BOCEL0049008,
2000_81892_13_15620_132,r58904,BOCEL1560146,
2004_81892_13_15612_119,r58904,BOCEL0049008,
2000_81914_13_11222_315,r58912,BOCEL0098789,
2016_81914_12_12_240000003594,r58912,BOCEL1560616,
2000_82953_13_15656_117,r59554,BOCEL0097329,
2004_82953_12_15_2,r59554,BOCEL1560602,
2000_83798_12_451_227,r60089,BOCEL1560335,
2000_83798_13_45611_230,r60089,BOCEL0068030,
2000_85324_12_151_402,r61027,BOCEL1560932,
2000_85324_13_15630_418,r61027,BOCEL0103568,
2004_85324_12_15_2,r61027,BOCEL1560932,
2004_85324_13_15630_3,r61027,BOCEL0103568,
2008_85324_13_15630_485,r61027,BOCEL0103568,
2016_85324_11_15_210000003821,r61027,BOCEL1560932,
2016_85324_13_15630_210000003833,r61027,BOCEL0103568,
2024_85324_13_15630_210002059790,r61027,BOCEL0103568,
2000_07617_13_20679_91,r6123,BOCEL0118460,
2008_07617_11_22_3475,r6123,BOCEL1560748,
2000_86010_13_11777_228,r61882,BOCEL0160371,nome_diferente_mesmo_nascimento
2004_86010_11_11_98,r61882,BOCEL1561061,
2004_86010_13_11777_112,r61882,BOCEL0160371,nome_diferente_mesmo_nascimento
2008_86010_11_11_17290,r61882,BOCEL1561061,
2000_86169_11_11_101,r62042,BOCEL0163013,
2000_86169_12_111_102,r62042,BOCEL1561080,
2004_86169_11_11_1,r62042,BOCEL0163013,
2000_86207_13_11888_287,r62104,BOCEL0048746,
2004_86207_13_45145_109,r62104,BOCEL1560141,
2008_86207_13_11888_12700,r62104,BOCEL0048746,
2000_07706_11_11_209,r6239,BOCEL0020782,
2000_07706_12_451_210,r6239,BOCEL1559731,
2004_07706_11_11_96,r6239,BOCEL0020782,
2000_87343_13_12123_290,r63463,BOCEL0107005,
2004_87343_13_12123_290,r63463,BOCEL0107005,
2004_87343_13_12689_304,r63463,BOCEL1561175,
2000_87432_11_11_61,r63560,BOCEL0031849,mesmo_nome_nascimento_diferente
2004_87432_11_11_15,r63560,BOCEL0031849,mesmo_nome_nascimento_diferente
2016_87432_13_13456_210000030393,r63560,BOCEL1560245,
2000_87459_13_15604_162,r63589,BOCEL0073636,
2004_87459_11_15_25,r63589,BOCEL1560382,
2004_87459_13_15604_26,r63589,BOCEL0073636,
2008_87459_13_15604_7828,r63589,BOCEL0073636,
2020_87459_13_15440_210001262840,r63589,BOCEL1560382,
2000_87769_13_12345_205,r63956,BOCEL1560893,
2000_87769_13_12555_207,r63956,BOCEL0140726,
2004_87769_13_12555_118,r63956,BOCEL0140726,
2000_88145_13_14607_273,r64434,BOCEL0158263,
2004_88145_11_14_142,r64434,BOCEL0158263,
2004_88145_13_14607_149,r64434,BOCEL1561042,
2008_88145_11_14_6260,r64434,BOCEL0158263,
2008_88145_13_14607_6554,r64434,BOCEL1561042,
2020_88145_11_14_210000641049,r64434,BOCEL0158263,
2024_88145_11_45_210001886317,r64434,BOCEL0158263,
2000_88218_12_151_277,r64529,BOCEL1560485,
2000_88218_13_15640_279,r64529,BOCEL0083681,
2004_88218_13_15640_139,r64529,BOCEL0083681,
2016_88218_13_15640_210000012961,r64529,BOCEL0083681,
2000_88650_13_11333_202,r65110,BOCEL0159576,
2000_88650_13_11601_207,r65110,BOCEL1561077,
2004_88650_11_11_89,r65110,BOCEL0159576,
2008_88650_12_11_18899,r65110,BOCEL0159576,
2008_88650_13_11100_18902,r65110,BOCEL1561077,
2012_88650_12_11_210000021832,r65110,BOCEL0159576,
2016_88650_13_11111_210000020063,r65110,BOCEL0159576,
2000_90042_13_12644_107,r66629,BOCEL1560527,
2000_90042_13_12679_104,r66629,BOCEL0003553,
2004_90042_13_12679_106,r66629,BOCEL0003553,
2008_90042_13_12679_5722,r66629,BOCEL0003553,
2000_90956_13_45666_121,r67739,BOCEL0009194,
2000_90956_13_45678_103,r67739,BOCEL1559530,
2004_90956_13_45666_198,r67739,BOCEL0009194,
2000_90964_13_25600_222,r67746,BOCEL1560321,nome_diferente_mesmo_nascimento
2000_90964_13_25650_37,r67746,BOCEL0066606,
2004_90964_13_25600_77,r67746,BOCEL1560321,nome_diferente_mesmo_nascimento
2004_90964_13_25650_78,r67746,BOCEL0066606,
2000_08176_13_14608_139,r6808,BOCEL0066571,
2004_08176_13_15678_207,r6808,BOCEL1560319,
2000_92894_11_45_206,r69500,BOCEL0114334,
2000_92894_12_451_207,r69500,BOCEL1560719,
2010_GO_7_11234_90000000497,r69500,BOCEL0114334,
2012_92894_11_11_90000000652,r69500,BOCEL0114334,
2016_92894_11_11_90000005175,r69500,BOCEL0114334,
2000_93327_13_41123_903,r70007,BOCEL0139889,
2000_93327_13_41456_908,r70007,BOCEL1560886,
2000_93475_13_25123_157,r70171,BOCEL1560358,
2004_93475_13_13222_28,r70171,BOCEL0070357,
2008_93475_11_40_5501,r70171,BOCEL1560358,
2008_93475_13_13222_4561,r70171,BOCEL0070357,
2012_93475_11_40_270000003265,r70171,BOCEL1560358,
2012_93475_13_13222_270000006908,r70171,BOCEL0070357,
2016_93475_13_13222_270000003148,r70171,BOCEL0070357,
2020_93475_13_13222_270001085894,r70171,BOCEL0070357,
2024_93475_12_12_270002258674,r70171,BOCEL0070357,
2000_98833_13_25630_286,r72833,BOCEL0010506,
2004_98833_11_23_106,r72833,BOCEL1559546,
2004_98833_12_23_107,r72833,BOCEL0010506,
2000_08753_13_12612_282,r7448,BOCEL1560280,
2004_08753_13_43789_50,r7448,BOCEL0062303,
2012_08753_13_10222_100000003184,r7448,BOCEL0062303,
2020_08753_13_12222_100000762505,r7448,BOCEL0062303,
2024_08753_13_40111_100002217998,r7448,BOCEL0062303,
2000_08770_13_15620_238,r7468,BOCEL0048312,
2004_08770_13_14444_180,r7468,BOCEL0048312,
2012_08770_12_12_100000013705,r7468,BOCEL1560134,
2020_08770_13_22555_100001021241,r7468,BOCEL0048312,
2024_08770_13_55555_100002323034,r7468,BOCEL0048312,
2004_04162_13_15789_238,r76478,BOCEL1560573,
2008_04162_13_40666_2677,r76478,BOCEL0094862,
2016_04162_13_90000_140000009911,r76478,BOCEL0094862,
2000_09318_11_15_109,r7839,BOCEL0024007,
2000_09318_13_15633_111,r7839,BOCEL1559772,
2004_09318_11_15_1,r7839,BOCEL0024007,
2004_09318_13_15633_4,r7839,BOCEL1559772,
2004_09156_13_25123_50,r80208,BOCEL0027979,
2012_09156_13_65789_100000003269,r80208,BOCEL1560846,
2004_10499_13_12345_16,r81078,BOCEL1560589,
2008_10499_13_13699_1446,r81078,BOCEL0088918,
2012_10499_13_13456_180000001358,r81078,BOCEL0088918,
2016_10499_13_13456_180000002319,r81078,BOCEL0088918,
2004_12610_13_45111_97,r82892,BOCEL0089681,
2008_12610_13_45111_142,r82892,BOCEL1560541,
2012_12610_13_45111_180000006120,r82892,BOCEL0089681,
2000_10260_13_45611_210,r8449,BOCEL0025748,
2004_10260_13_45611_38,r8449,BOCEL0025748,
2004_10260_13_45666_39,r8449,BOCEL1560323,
2008_10260_13_45611_2253,r8449,BOCEL0025748,
2004_17833_13_25777_98,r86276,BOCEL0018903,mesmo_nome_nascimento_diferente
2008_17833_13_25122_2027,r86276,BOCEL1560265,
2012_17833_13_55777_200000008206,r86276,BOCEL0018903,mesmo_nome_nascimento_diferente
2004_22179_11_45_143,r89239,BOCEL1559533,
2008_22179_13_45699_1757,r89239,BOCEL0009768,
2012_22179_13_45699_150000004703,r89239,BOCEL0009768,
2016_22179_13_17123_150000008812,r89239,BOCEL0009768,
2004_25631_13_40000_4,r91116,BOCEL0118636,
2004_25631_13_40777_8,r91116,BOCEL1560750,
2012_25631_13_40000_170000014984,r91116,BOCEL0118636,
2004_34630_13_22123_204,r94762,BOCEL1561137,
2012_34630_13_15123_50000012381,r94762,BOCEL1561137,
2016_34630_13_70000_50000009242,r94762,BOCEL0173080,
2020_34630_13_70000_50001228683,r94762,BOCEL0173080,
2024_34630_13_70000_50002337875,r94762,BOCEL0173080,
2004_36919_11_15_47,r96138,BOCEL0013091,
2004_36919_12_15_48,r96138,BOCEL1559586,
2008_36919_11_15_19705,r96138,BOCEL0013091,
2000_11991_13_11611_386,r9892,BOCEL0017748,
2000_11991_13_23622_367,r9892,BOCEL1559664,
2008_11991_13_14111_3483,r9892,BOCEL0017748,
2012_11991_13_14111_180000006979,r9892,BOCEL0017748,
2016_11991_13_14111_180000007162,r9892,BOCEL0017748,
2020_11991_13_14111_180000844888,r9892,BOCEL0017748,
2004_41386_13_12630_96,r99767,BOCEL0163826,
2016_41386_13_13456_130000053727,r99767,BOCEL1561087,
