condicao,forma_saida,N
suplente,suplente_efetivado,153
suplente,falecimento,1
titular,fim_regular,154
titular,nao_observado,134
titular,outro,26
titular,renuncia,5
titular,cassacao,1
titular,licenca,1
titular,falecimento,1
