id_mandato,esfera,forma_saida,fonte_forma_saida,data_posse,data_fim_efetiva,mandato_fim
M2000_09610_11_41_63,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_09717_11_25_204,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_10146_11_11_145,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_10251_11_40_41,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_10324_11_25_65,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_10600_11_45_41,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_10804_11_22_72,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_10847_11_45_171,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_10901_11_15_181,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_10960_11_15_144,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_10987_11_15_221,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_11037_11_11_41,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_11150_11_25_101,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_11576_11_11_214,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_12050_11_25_114,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_12106_11_15_138,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_12238_11_15_101,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_12289_11_14_221,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_12394_11_45_143,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_12408_11_25_81,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_12661_11_25_181,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_13099_11_45_107,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_13218_11_41_209,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_13390_11_23_51,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_13447_11_25_142,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_13455_11_45_71,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_13480_11_45_169,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_13536_11_25_116,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_13730_11_11_39,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_13811_11_15_100,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_13951_11_41_202,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_13978_11_41_23,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_14010_11_15_86,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_14052_11_25_64,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_14176_11_45_182,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_14559_11_43_206,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_14680_11_23_61,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_14753_11_41_42,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_14931_11_11_21,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_15440_11_11_41,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_15881_11_45_43,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_15920_11_41_186,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_16012_11_25_62,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_16047_11_11_221,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_16217_11_15_147,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_16411_11_25_264,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_16438_11_12_181,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_16454_11_15_33,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_17353_11_15_181,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_17370_11_40_138,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_17612_11_40_230,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_17710_11_15_61,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_17817_11_22_262,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
