id_mandato,sg_uf,sg_ue,cargo,ano_eleicao,forma_saida,fonte_forma_saida
"M2020_19305_11_40_150000677202","PB","19305","PREFEITO","2020","fim_regular","tce"
"M2012_19313_11_23_150000011331","PB","19313","PREFEITO","2012","fim_regular","tce"
"M2016_19313_11_40_150000009042","PB","19313","PREFEITO","2016","fim_regular","tce"
"M2020_19313_11_15_150000860657","PB","19313","PREFEITO","2020","fim_regular","tce"
"M2012_19321_11_55_150000004524","PB","19321","PREFEITO","2012","fim_regular","tce"
"M2016_19321_11_14_150000008786","PB","19321","PREFEITO","2016","fim_regular","tce"
"M2020_19321_11_14_150000993544","PB","19321","PREFEITO","2020","fim_regular","tce"
"M2012_19330_11_40_150000012059","PB","19330","PREFEITO","2012","fim_regular","tce"
"M2016_19330_11_25_150000003499","PB","19330","PREFEITO","2016","fim_regular","tce"
"M2020_19330_11_25_150000975671","PB","19330","PREFEITO","2020","fim_regular","tce"
"M2012_19348_11_25_150000006257","PB","19348","PREFEITO","2012","fim_regular","tce"
"M2016_19348_11_45_150000010462","PB","19348","PREFEITO","2016","fim_regular","tce"
"M2020_19348_11_45_150000865837","PB","19348","PREFEITO","2020","fim_regular","tce"
"M2012_19356_11_15_150000000003","PB","19356","PREFEITO","2012","fim_regular","tce"
"M2016_19356_11_40_150000007980","PB","19356","PREFEITO","2016","fim_regular","tce"
"M2020_19356_11_23_150000687869","PB","19356","PREFEITO","2020","fim_regular","tce"
"M2012_19364_11_40_150000001410","PB","19364","PREFEITO","2012","fim_regular","tce"
"M2016_19364_11_40_150000009362","PB","19364","PREFEITO","2016","fim_regular","tce"
"M2020_19364_11_45_150001201874","PB","19364","PREFEITO","2020","fim_regular","tce"
"M2012_19372_11_40_150000007337","PB","19372","PREFEITO","2012","fim_regular","tce"
"M2016_19372_11_19_150000005342","PB","19372","PREFEITO","2016","outro","tce"
"M2020_19372_11_12_150000818196","PB","19372","PREFEITO","2020","fim_regular","tce"
"M2012_19380_11_15_150000003254","PB","19380","PREFEITO","2012","fim_regular","tce"
"M2016_19380_11_40_150000001234","PB","19380","PREFEITO","2016","fim_regular","tce"
"M2020_19380_11_19_150000767239","PB","19380","PREFEITO","2020","fim_regular","tce"
"M2012_19399_11_15_150000009953","PB","19399","PREFEITO","2012","fim_regular","tce"
"M2012_19402_11_45_150000007910","PB","19402","PREFEITO","2012","fim_regular","tce"
"M2016_19402_11_40_150000011590","PB","19402","PREFEITO","2016","fim_regular","tce"
"M2020_19402_11_23_150000674356","PB","19402","PREFEITO","2020","outro","tce"
"M2012_19429_11_15_150000001819","PB","19429","PREFEITO","2012","fim_regular","tce"
"M2016_19429_11_22_150000006023","PB","19429","PREFEITO","2016","fim_regular","tce"
"M2020_19429_11_22_150000748783","PB","19429","PREFEITO","2020","fim_regular","tce"
"M2012_19437_11_27_150000002388","PB","19437","PREFEITO","2012","fim_regular","tce"
"M2016_19445_11_15_150000013314","PB","19445","PREFEITO","2016","fim_regular","tce"
"M2020_19445_11_11_150001157027","PB","19445","PREFEITO","2020","fim_regular","tce"
"M2012_19453_11_45_150000002457","PB","19453","PREFEITO","2012","fim_regular","tce"
"M2016_19453_11_55_150000004883","PB","19453","PREFEITO","2016","fim_regular","tce"
"M2020_19453_11_11_150000669703","PB","19453","PREFEITO","2020","fim_regular","tce"
"M2016_19461_11_45_150000006455","PB","19461","PREFEITO","2016","fim_regular","tce"
"M2020_19461_11_45_150000649052","PB","19461","PREFEITO","2020","fim_regular","tce"
"M2012_19470_11_20_150000000382","PB","19470","PREFEITO","2012","fim_regular","tce"
"M2016_19470_11_14_150000000958","PB","19470","PREFEITO","2016","outro","tce"
"M2012_19500_11_15_150000000101","PB","19500","PREFEITO","2012","fim_regular","tce"
"M2016_19500_11_40_150000012810","PB","19500","PREFEITO","2016","fim_regular","tce"
"M2020_19500_11_23_150000730651","PB","19500","PREFEITO","2020","fim_regular","tce"
"M2012_19518_11_55_150000002364","PB","19518","PREFEITO","2012","fim_regular","tce"
"M2016_19518_11_55_150000004999","PB","19518","PREFEITO","2016","fim_regular","tce"
"M2020_19518_11_55_150000766324","PB","19518","PREFEITO","2020","fim_regular","tce"
"M2012_19534_11_40_150000002793","PB","19534","PREFEITO","2012","fim_regular","tce"
"M2016_19534_11_14_150000001086","PB","19534","PREFEITO","2016","fim_regular","tce"
"M2020_19534_11_14_150000742886","PB","19534","PREFEITO","2020","fim_regular","tce"
"M2012_19542_11_15_150000001366","PB","19542","PREFEITO","2012","fim_regular","tce"
"M2016_19542_11_22_150000000858","PB","19542","PREFEITO","2016","fim_regular","tce"
"M2020_19542_11_22_150000653004","PB","19542","PREFEITO","2020","outro","tce"
"M2012_19550_11_17_150000010212","PB","19550","PREFEITO","2012","fim_regular","tce"
"M2016_19550_11_14_150000009653","PB","19550","PREFEITO","2016","fim_regular","tce"
"M2020_19550_11_23_150000718598","PB","19550","PREFEITO","2020","fim_regular","tce"
"M2012_19569_11_12_150000007322","PB","19569","PREFEITO","2012","fim_regular","tce"
"M2016_19569_11_12_150000002826","PB","19569","PREFEITO","2016","fim_regular","tce"
"M2020_19569_11_12_150000717441","PB","19569","PREFEITO","2020","fim_regular","tce"
"M2012_19577_11_22_150000000262","PB","19577","PREFEITO","2012","fim_regular","tce"
"M2016_19577_11_22_150000000853","PB","19577","PREFEITO","2016","fim_regular","tce"
"M2012_19585_11_40_150000007291","PB","19585","PREFEITO","2012","fim_regular","tce"
"M2016_19585_11_25_150000013201","PB","19585","PREFEITO","2016","fim_regular","tce"
"M2020_19585_11_25_150000661074","PB","19585","PREFEITO","2020","fim_regular","tce"
"M2012_19593_11_70_150000001523","PB","19593","PREFEITO","2012","fim_regular","tce"
"M2016_19593_11_45_150000008162","PB","19593","PREFEITO","2016","fim_regular","tce"
"M2012_19607_11_55_150000010738","PB","19607","PREFEITO","2012","fim_regular","tce"
"M2016_19607_11_45_150000001860","PB","19607","PREFEITO","2016","fim_regular","tce"
"M2020_19607_11_22_150001269493","PB","19607","PREFEITO","2020","fim_regular","tce"
"M2012_19615_11_15_150000003057","PB","19615","PREFEITO","2012","fim_regular","tce"
"M2016_19615_11_12_150000002477","PB","19615","PREFEITO","2016","fim_regular","tce"
"M2020_19615_11_25_150001061047","PB","19615","PREFEITO","2020","fim_regular","tce"
"M2012_19623_11_15_150000009251","PB","19623","PREFEITO","2012","fim_regular","tce"
"M2016_19623_11_45_150000010143","PB","19623","PREFEITO","2016","fim_regular","tce"
"M2012_19631_11_40_150000009162","PB","19631","PREFEITO","2012","fim_regular","tce"
"M2016_19631_11_40_150000010479","PB","19631","PREFEITO","2016","fim_regular","tce"
"M2020_19631_11_23_150000636936","PB","19631","PREFEITO","2020","fim_regular","tce"
"M2012_19640_11_40_150000005049","PB","19640","PREFEITO","2012","fim_regular","tce"
"M2016_19640_11_14_150000007920","PB","19640","PREFEITO","2016","fim_regular","tce"
"M2020_19640_11_14_150000665948","PB","19640","PREFEITO","2020","fim_regular","tce"
"M2020_19658_11_25_150000639732","PB","19658","PREFEITO","2020","fim_regular","tce"
"M2020_19666_11_11_150000633249","PB","19666","PREFEITO","2020","outro","tce"
"M2012_19674_11_25_150000015299","PB","19674","PREFEITO","2012","fim_regular","tce"
"M2016_19674_11_40_150000005444","PB","19674","PREFEITO","2016","fim_regular","tce"
"M2012_19682_11_45_150000007155","PB","19682","PREFEITO","2012","fim_regular","tce"
"M2016_19682_11_40_150000006346","PB","19682","PREFEITO","2016","fim_regular","tce"
