legislatura,nome,n_datas,n_vocabulos,primeira,ultima
17,PELAS ATIVIDADES VOLUNTÁRIAS DE AUXILIO,1,4,2013-08-06,2013-08-06
17,APOIO ESPIRITUAL ÀS PESSOAS,1,3,2013-08-06,2013-08-06
17,DESPORTIVA VITÓRIA DAS TABOCAS,1,3,2013-08-14,2013-08-14
17,JORNALISTA RAIMUNDO CARRERO,1,3,2013-08-21,2013-08-21
17,MANOEL LISBOA,1,2,2013-09-10,2013-09-10
17,EMMANUEL BEZERRA,1,2,2013-09-10,2013-09-10
17,MANUEL ALEIXO,1,2,2013-09-10,2013-09-10
17,COMPOSITOR JANDUHY FINIZOLA DA CUNHA,1,4,2013-09-11,2013-09-11
17,Ana Kely Almeida da Costa,1,4,2014-03-26,2014-03-26
17,BRINGEL,20,1,2014-08-05,2014-10-09
17,EFETIVOS DIOGO MORAES,1,3,2014-05-28,2014-05-28
17,RODRIGO NOVAES SÉRGIO LEITE,1,4,2014-08-12,2014-08-12
17,TONY GELE ZÉ MAURÍCIO,1,3,2012-05-16,2012-05-16
17,SÉRGIO LEITE SÍLVIO COSTA FILHO,1,5,2014-09-03,2014-09-03
17,ERIBERTO MEDEIROS EVERALDO CABRAL,1,4,2014-10-20,2014-10-20
17,RESPECTIVAMENTE,4,1,2014-11-12,2014-11-18
18,MANOEL BOTAFOGO,1,2,2015-08-11,2015-08-11
18,NATRANSFORMAÇÃO DO CAMPO JURÍDICO,1,3,2015-08-17,2015-08-17
18,TONY GEL ZÉ MAURÍCIO,1,3,2015-08-24,2015-08-24
18,Edilson Silva Zé Maurício,1,3,2015-04-29,2015-04-29
18,QUE ESTÃO,1,2,2015-09-08,2015-09-08
18,DE GOVERNO,3,1,2015-11-04,2016-04-20
18,RESPECTIVAMENTE,25,1,2015-11-04,2018-06-06
18,DE SUA PROPRIEDADE,1,2,2015-11-16,2015-11-16
18,LULACABRALE NILTON MOTA,1,3,2015-12-16,2015-12-16
18,SUPERINTENDENTE DE CERIMONIAL DESTA CASA,2,4,2015-12-16,2018-06-26
18,NILTON,1,1,2016-02-02,2016-02-02
