statement,qid,nome_wikidata,dt_nascimento,nome_bocel,nasc_bocel,tipo_div,cargo,uf,inicio,tipo_pareamento,url
Q106548008-0e9d0d26-4190-1767-66fe-1e83c20b8c2a,Q106548008,Temoteo Brito,1941-09-11,TEMOTEO ALVES DE BRITO,1941-11-09,dia_mes_trocados,DEPUTADO ESTADUAL,BA,2011-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q106548008
Q106548008-ea62c84d-4556-a085-2fe1-0c8621885684,Q106548008,Temoteo Brito,1941-09-11,TEMOTEO ALVES DE BRITO,1941-11-09,dia_mes_trocados,PREFEITO,BA,2017-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q106548008
Q485946-e1983255-419b-c755-c3bb-4006ac0ee03b,Q485946,Itamar Franco,1930-06-28,ITAMAR AUGUSTO CAUTIERO FRANCO,1929-06-28,ano_diferente,GOVERNADOR,MG,1999-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q485946
Q65161732-e9c2d6e3-4660-edf4-3bd9-47160e31b4c0,Q65161732,Daniel Barbosa Santos,1986-01-01,DANIEL BARBOSA SANTOS,1986-08-25,wikidata_so_ano,DEPUTADO ESTADUAL,PA,2019-02-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q65161732
Q65161732-d9d29dd6-48eb-a21c-af22-e370cbae2cd2,Q65161732,Daniel Barbosa Santos,1986-01-01,DANIEL BARBOSA SANTOS,1986-08-25,wikidata_so_ano,PREFEITO,PA,2021-01-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q65161732
Q117798175-a9dea92f-4bfe-35b3-1102-66e7f735a4dc,Q117798175,Ricardo Rodrigues,1968-05-09,JOSE RICARDO RODRIGUES BARBOSA,1968-09-05,dia_mes_trocados,DEPUTADO ESTADUAL,BA,2023-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q117798175
Q983683-a933b033-40e0-c754-5ad0-fd859dad1307,Q119953845,Osvaldo de Oliveira Rosa,1966-06-11,OSVALDO DE OLIVEIRA ROSA,1966-11-06,dia_mes_trocados,PREFEITO,SP,2021-01-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q119953845
Q65168458-d22aa06c-4a1c-b2a9-7f45-368a33cd67b2,Q65168458,Eures Pereira,1973-01-01,EURES RIBEIRO PEREIRA,1973-11-19,wikidata_so_ano,DEPUTADO ESTADUAL,BA,2011-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q65168458
Q65168458-e7d861df-43da-d71f-0eb7-da98e7e4ae47,Q65168458,Eures Pereira,1973-01-01,EURES RIBEIRO PEREIRA,1973-11-19,wikidata_so_ano,DEPUTADO ESTADUAL,BA,2023-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q65168458
Q59205655-2D476B52-ABE3-47B7-AA5D-C435EC49E97F,Q59205655,Pedro Tavares,1976-01-25,PEDRO PAULO TAVARES BATISTA DE MELLO E SILVA,1976-10-25,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2011-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59205655
Q59205655-b537176b-4b7c-8537-97cb-e7cb32ff9541,Q59205655,Pedro Tavares,1976-01-25,PEDRO PAULO TAVARES BATISTA DE MELLO E SILVA,1976-10-25,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2015-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59205655
Q59205655-8a9693f7-4333-5640-f5f3-68f2b934cd68,Q59205655,Pedro Tavares,1976-01-25,PEDRO PAULO TAVARES BATISTA DE MELLO E SILVA,1976-10-25,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2019-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59205655
Q59205655-d1ae24b6-4804-b669-3522-81662bd0ea13,Q59205655,Pedro Tavares,1976-01-25,PEDRO PAULO TAVARES BATISTA DE MELLO E SILVA,1976-10-25,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2023-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59205655
Q59246184-CDB1A607-28F0-4ED0-8614-DE0A54044B26,Q59246184,João Paulo Costa,1991-03-27,JOÃO PAULO DA COSTA CAVALCANTI,1991-07-23,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,PE,2019-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59246184
Q116453846-1ec04b58-4f1f-c875-679c-6f226d649687,Q116453846,Leonardo Pascoal,1990-09-01,LEONARDO DUARTE PASCOAL,1990-01-01,mesmo_ano_outro_dia,PREFEITO,RS,2017-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q116453846
Q37181-85842d52-4808-633d-fde4-3c4d4571a180,Q37181,Luiz Inácio Lula da Silva,1945-10-27,LUIZ INÁCIO LULA DA SILVA,1945-10-06,mesmo_ano_outro_dia,PRESIDENTE,BR,2003-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q37181
Q37181-37751a7f-4f11-ca76-2575-240895c4d524,Q37181,Luiz Inácio Lula da Silva,1945-10-27,LUIZ INÁCIO LULA DA SILVA,1945-10-06,mesmo_ano_outro_dia,PRESIDENTE,BR,2007-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q37181
Q37181-a287a1b0-46c0-8b81-a2cd-409a2ec0e804,Q37181,Luiz Inácio Lula da Silva,1945-10-27,LUIZ INÁCIO LULA DA SILVA,1945-10-06,mesmo_ano_outro_dia,PRESIDENTE,BR,2023-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q37181
Q137041089-88a4e3f0-42b4-829f-889f-85ce9bce07ad,Q137041089,Luis Guilherme Panone,1974-10-09,LUIS GUILHERME PANONE,1981-11-18,ano_diferente,PREFEITO,SP,2025-01-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q137041089
Q61000696-7327B041-06FB-4849-BB91-29DFCEAC24E2,Q61000696,Sérgio Victor,1987-01-01,SERGIO LUIZ VICTOR JUNIOR,1987-06-18,wikidata_so_ano,DEPUTADO ESTADUAL,SP,2019-03-15,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q61000696
