statement,qid,nome_wikidata,dt_nascimento,nome_bocel,nasc_bocel,tipo_div,cargo,uf,inicio,tipo_pareamento,url
Q118301948-64860fb8-45c1-9cfe-6e2a-f525bcd2f180,Q118301948,Carlos Ubaldino,1948-12-06,CARLOS UBALDINO DE SANTANA,1948-06-12,dia_mes_trocados,DEPUTADO ESTADUAL,BA,2011-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q118301948
Q118301948-6b562bfd-4f52-1b21-71ee-9f712eb31ca4,Q118301948,Carlos Ubaldino,1948-12-06,CARLOS UBALDINO DE SANTANA,1948-06-12,dia_mes_trocados,DEPUTADO ESTADUAL,BA,2015-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q118301948
Q64848147-87d6b8c3-44e9-f277-c81b-472ce147025b,Q64848147,Suzana Ramos,1966-07-31,SUZANA ALEXANDRE DE CARVALHO RAMOS,1966-07-30,mesmo_ano_outro_dia,PREFEITO,BA,2021-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q64848147
Q123290191-65bf4b94-4fc4-40f7-85c0-54563a581112,Q123290191,Joseph Bandeira,1949-06-11,JOSEPH WALLACE FARIA BANDEIRA,1949-11-06,dia_mes_trocados,PREFEITO,BA,2001-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q123290191
Q123007225-7e8c652a-4d62-641d-1b38-a5ae31ac15ca,Q123007225,Vespasiano Santos,1942-04-19,VESPASIANO GOMES DOS SANTOS,1947-04-19,ano_diferente,DEPUTADO ESTADUAL,BA,1999-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q123007225
Q123007225-acd6c55f-42e6-1022-721a-97f234e8438e,Q123007225,Vespasiano Santos,1942-04-19,VESPASIANO GOMES DOS SANTOS,1947-04-19,ano_diferente,DEPUTADO ESTADUAL,BA,2003-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q123007225
Q51882120-00040312-4de4-322d-8f3f-38236e341c07,Q51882120,Zelinda Novaes,1944-01-01,ZELINDA NOVAES E SILVA JARSKE,1944-12-25,wikidata_so_ano,DEPUTADO ESTADUAL,BA,1999-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q51882120
Q25176049-207696cf-4d16-04c8-0f52-ebe9522ed6bc,Q25176049,Paulo Azi,1963-01-04,PAULO VELLOSO DANTAS AZI,1963-01-14,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2003-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q25176049
Q25176049-a5bd6f73-4e35-b043-0276-c71c0ca5bf61,Q25176049,Paulo Azi,1963-01-04,PAULO VELLOSO DANTAS AZI,1963-01-14,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2007-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q25176049
Q25176049-74933559-4c41-e1e8-004c-4fb2362058bd,Q25176049,Paulo Azi,1963-01-04,PAULO VELLOSO DANTAS AZI,1963-01-14,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2011-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q25176049
Q56346750-e58e49cc-4fd3-4498-7949-225c608ecdf0,Q56346750,Ângelo Coronel,1958-01-01,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,1958-05-03,wikidata_so_ano,DEPUTADO ESTADUAL,BA,2003-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q56346750
Q56346750-6953cb17-40b5-b4d4-0000-f5b77b1520a4,Q56346750,Ângelo Coronel,1958-01-01,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,1958-05-03,wikidata_so_ano,DEPUTADO ESTADUAL,BA,2007-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q56346750
Q56346750-7eb42563-4b8d-fc9c-00df-0dd5a9ac8f3c,Q56346750,Ângelo Coronel,1958-01-01,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,1958-05-03,wikidata_so_ano,DEPUTADO ESTADUAL,BA,2011-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q56346750
