ano_eleicao,legislatura,linhas,pareadas,com_forma
1998,14,63,54,54
2002,15,64,54,54
2006,16,69,54,54
2010,17,68,54,54
2014,18,60,54,54
2018,19,66,54,54
2022,20,63,54,3
