legislatura,ano_eleicao,n_bocel,n_pareados,n_com_forma,n_linhas,n_titular,n_suplente,taxa_pareamento,taxa_forma
14,1998,49,42,41,49,42,6,0.8571,0.8367
15,2002,49,47,47,53,47,4,0.9592,0.9592
16,2006,49,46,46,69,46,16,0.9388,0.9388
17,2010,49,48,48,65,48,12,0.9796,0.9796
18,2014,49,48,48,66,48,12,0.9796,0.9796
19,2018,49,49,49,60,49,5,1,1
20,2022,49,49,5,58,49,6,1,0.102
