ano_eleicao,n_bocel,n_pareados,n_fonte,n_titular,n_suplente,taxa_pareamento,n_com_forma_saida
1998,63,62,70,63,6,0.9841,69
2002,63,63,70,63,7,1,70
2006,63,63,70,63,6,1,69
2010,63,63,71,64,6,1,68
2014,63,62,69,62,4,0.9841,66
2018,63,63,72,66,3,1,67
2022,63,63,72,63,5,1,8
