legislatura,nome,forma_saida,id_fonte,onde,literal,literal_sem_cabecalho,causa_original
26,AGENOR NETO,renuncia,malce_leg26_p180,inesp_leg26.pdf paginas 179-181,0,1,"Entre 1998 e 2003, atuou como secretário de Agricultura de Quixeramobim, interrompendo suas atividades para assumir a cadeira de deputado estadual na Assembleia Legislativa na 26ª Legislatura, como suplente do deputado Agenor Neto, que renunciou ao mandato para assumir a Prefeitura de Iguatu."
26,INES ARRUDA,renuncia,malce_leg26_p172,inesp_leg26.pdf paginas 171-173,1,1,"Candidato a deputado estadual para legislatura 2003/2006, não foi eleito, mas ficou em uma suplência, assumindo em agosto de 2003 a vaga da deputada Inês Arruda que renunciou ao mandado para assumir a Prefeitura de Caucaia."
26,SÉRGIO BENEVIDES,cassacao,malce_leg26_p105,inesp_leg26.pdf paginas 104-106,1,1,"Em 27 de outubro de 2004, o deputado Sérgio Benevides teve o seu mandato cassado pela Assembléia Legislativa do Ceará."
26,VASQUES LANDIM,licenca,malce_leg26_p164,inesp_leg26.pdf paginas 163-167,1,1,"Na eleição seguinte, 2003/2006, mesmo obtendo 32.176 votos, ficou como suplente, assumindo, temporariamente, em 05/02/2003, a vaga do deputado Vasques Landim, licenciado para assumir a Secretaria-Ouvidoria do Meio Ambiente."
27,SÁVIO PONTES,renuncia,malce_leg27_p87,inesp_leg27.pdf paginas 86-88,1,1,"Em 2008, renunciou ao mandato para candidatar-se à prefeitura de Ipu pela Coligação “União Pelo Povo”."
28,MOESIO LOIOLA,renuncia,malce_leg28_p129,inesp_leg28.pdf paginas 128-131,1,1,"Em 28 de dezembro de 2012, renunciou ao mandato de deputado estadual por ter sido eleito prefeito de Campos Sales, em outubro desse ano, pelo Partido Social Democrático (PSD), com 7.037 votos."
29,PROFESSOR TEODORO,falecimento,malce_leg29_p157,inesp_leg29.pdf paginas 156-159,1,1,"Faleceu no exercício do mandato, em Fortaleza, a 18 de agosto de 2016, sendo sepultado em sua cidade natal."
29,WELINGTON LANDIM,falecimento,malce_leg29_p97,inesp_leg29.pdf paginas 96-99,1,1,"Faleceu, em 9 de junho de 2015, aos 59 anos, ao curso do mandato, em consequência de uma meningite bacteriana."
30,PATRÍCIA AGUIAR,renuncia,malce_leg30_p130,inesp_leg30.pdf paginas 129-131,1,1,"Em 15 de novembro de 2020, foi eleita prefeita de Tauá para o quarto mandato à frente do município com 52% dos votos, renunciando ao mandato de deputada estadual."
