ano_eleicao,nome,condicao,forma_saida,data_inicio_exercicio,data_fim_exercicio,id_mandato_bocel,metodo_pareamento,id_fonte
2018,Alexandre Curi,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_40128_160000623295,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Anibelli Neto,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_15190_160000612501,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Arilson Chiorato,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_13000_160000623041,primeiro_ultimo_x_urna,2019-02-11_9485.pdf
2018,Artagão Junior,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_40140_160000623322,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Bazana,titular,fim_regular,2021-11-08,2023-01-31,M2018_PR_7_43600_160000612808,ultimo_vocabulo_x_urna,2021-11-16_12277.pdf
2018,Boca Aberta Junior,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_28011_160000621554,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,BRASIL,suplente,suplente_efetivado,2022-04-18,2023-01-31,,,2022-04-18_12714.pdf
2018,Cantora Mara Lima,suplente,suplente_efetivado,2019-02-11,2023-01-31,,,2019-02-11_9485.pdf
2018,Cassiano Caron,nao_informado,nao_observado,,,,,cassiano-caron
2018,Cobra Repórter,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_55055_160000619850,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Coronel Lee,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_17190_160000626060,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Cristina Silvestri,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_23121_160000624234,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Delegado Fernando Delegado Francischini,suplente,suplente_efetivado,2019-02-11,2021-10-25,,,2019-02-11_9485.pdf
2018,Delegado Fernando Martins,titular,fim_regular,2020-09-18,2023-01-31,M2018_PR_7_17025_160000626041,ultimo_vocabulo_x_nome_bocel,2020-09-18_11130.pdf
2018,Delegado Jocovós,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_22038_160000619643,similaridade_nome_urna_norm,2019-02-11_9485.pdf
2018,Delegado Recalcatti,titular,outro,2019-02-01,2021-04-13,M2018_PR_7_55555_160000619865,nome_parlamentar_x_urna,2021-04-13_11684_1269937.html
2018,Do Carmo,nao_informado,nao_observado,,,,,do-carmo
2018,Douglas Fabrício,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_23600_160000624237,nome_parlamentar_x_urna,2019-02-11_9485.pdf
