"id_mandato_bocel","evento_inferido","metodo_pareamento","motivo_rebaixamento","trecho"
"M2020_35157_13_90222_50000867147","licenca","nome_completo_no_trecho","nome_e_suplente_convocado","Municipal de Feira de Santana, Estado da Bahia, no uso de suas atribuições, em especial o que dispõe o Regimento Interno da Casa no inciso I do artigo 142, convoca a requerimento da Mesa Diretiva e parecer favorável da procuradoria, o primeiro <<suplente de Vereador>> pelo Partido da Ordem Social - "
"M2016_92410_12_22_270000008646","licenca","nome_completo_no_trecho","cargo_incompativel_com_trecho","FRAUDNEIS FIOMARE ROSA, através da mensagem 001, entre os dias 10 a 25 de abril 2019. CONSIDERANDO que a Câmara Municipal de Araguaína fez o Termo de Recondução ao cargo de Prefeito Municipal ao Sr. FRAUDNEIS FIOMARE ROSA, em decorrência da <<licença do Prefeito>> RONALDO DIMAS NOGUEIEA PEREIRA, tit"
"M2020_90670_13_19123_110000938405","licenca","tokens_primeiro_e_ultimo_nome_unico",,"vinte e três do mês de agosto do ano de dois mil e vinte e dois (23/08/2022) compareceu no Plenário da Câmara Municipal de Cuiabá, o Senhor Nilson Portela Ferreira– 3ª suplente do PODEMOS, para assumir o cargo de Vereador, tendo em vista a <<licença do Vereador>> titular Senhor Dilemário Alencar par"
"M2016_15598_13_12123_60000003390","licenca","nome_completo_no_trecho","nome_e_assinatura_do_ato","Câmara Municipal, Rua Conselheiro Rodrigues Júnior, s/n, Térreo, Centro. Fone: (88) 3677- 7602, Sobral-CE, 10 de janeiro de 2018. PAULO CÉSAR LOPES VASCONCELOS – Presidente. RESOLUÇÃO ADMINISTRATIVA Nº 70/2018 - Termino da permanência do <<suplente de vereador>> Antonio Oliveira Braga. O PRESIDENTE "
"M2020_72451_13_45555_250001097548","suplente_efetivado","nome_completo_no_trecho","nome_e_assinatura_do_ato","centavos). Para constar, foi lavrado o presente TERMO DE POSSE, que será devidamente assinado pelo Presidente da Câmara, Sergio Adriano Pereira e pelo <<Suplente de Vereador>> empossado, Walter José dos Santos. Câmara Municipal de Votuporanga, 19 de agosto de 2021. SERGIO ADRIANO PEREIRA Presidente "
"M2012_90514_13_13113_120000002788","renuncia","nome_completo_no_trecho","nome_a_mais_de_120_caracteres_do_termo","MIRANDA DOS SANTOS, Vereador desta Casa de Leis pelo Partido dos Trabalhadores – PT, vem mui respeitosamente à presença de Vossa Excelência com fulcro nos arts. 100 e 101 do Regimento Interno da Câmara Municipal (Resolução 1.109/2009), apresentar <<RENÚNCIA>> ao mandato parlamentar de Vereador, a pa"
"M2012_03018_13_43333_230000001216","renuncia","tokens_primeiro_e_ultimo_nome_unico",,"BOA VISTA SECRETARIA DE GESTÃO DE PESSOAS PORTARIA Nº 667/2015 O PRESIDENTE DA CÂMARA MUNICIPAL DE BOA VIS- TA, no uso das atribuições que lhes são conferidas pelo ar- tigo 58, da Resolução nº 093, de 16 de dezembro de 1998, tendo em vista a <<renúncia>> da Vereadora Alcinira Maga- lhães Mota Freita"
"M2016_89575_11_40_210000012108","renuncia","nome_completo_no_trecho","nome_e_assinatura_do_ato","deve se apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1.645, centro. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 17 "
"M2016_74837_13_12345_160000017765","renuncia","nome_completo_no_trecho","nome_a_mais_de_120_caracteres_do_termo","13.03.2018 R$ 3.000,00 Schneider Treinamento e Capacitação Profissional em Gestão Pública. Pagamento do curso """"Tributos Municipais (Oportunidade para aumentar a receita própria do Município)"""" e a """"A Responsabilidade do Prefeito na <<Renúncia>> dos Tributos Municipais"""", a ser promovido pela NS Tr"
"M2020_25313_13_13650_170000931357","suplente_efetivado","nome_completo_no_trecho","nome_a_mais_de_120_caracteres_do_termo","referendum do Plenário. Para tanto, os Senhores OSMAR RICARDO CABRAL BARRETO e FRANCISCO FERREIRA DA SILVA FILHO apresentaram os seguintes documentos: 1) cópia dos respectivos diplomas expedidos pela Justiça Eleitoral, informando sua condição de <<Suplente de Vereador>> para a décima nona (19ª) Legi"
