legislatura,nome,nome_completo,condicao,data_inicio_exercicio,data_fim_exercicio,forma_saida,causa_original
18,Bira Corôa Lula,UBIRAJARA DA SILVA RAMOS COROA,suplente,2015-02-02,,afastamento,assumiu o mandato de 02/02/2015 a 24/11/2015 em detrimento do afastamento do dep.
18,Bruno Reis,BRUNO SOARES REIS,titular,,,renuncia,"licenciou-se de 3/03/2015 a 1/06/2016, renunciou em dezembro de 2016."
18,Heber Santana,HEBER DE SOUSA SANTANA,suplente,2017-01-02,,suplente_efetivado,"assumiu o mandato em 2/01/2017, em decorrência da renúncia do deputado Bruno Reis."
18,Luiza Maia Lula,LUIZA COSTA MAIA,titular,,,afastamento,"Afastou-se do mandato de deputada para assumir o cargo de Secretária de Desenvolvimento Econômico do Estado da Bahia, maio"
18,Mirela Macedo,MIRELA DE OLIVEIRA MACEDO NEIVA,suplente,,,suplente_efetivado,
18,Pastor Sargento Isidório,MANOEL ISIDORIO SANTANA JUNIOR,titular,,2018-01-23,renuncia,Renunciou o mandato de deputado estadual em 23/01/2018.
18,Paulo Câmera,PAULO FRANCISCO DE CARVALHO CAMERA,titular,,,licenca,licenciou-se no período de 11/02/2011 a 18/01/2014 e de 03/02/2015 a 25/11/2015.
18,Robério Oliveira,JOSE ROBERIO BATISTA DE OLIVEIRA,titular,,,renuncia,renunciou em dez.2016.
18,Rogério Andrade,ANDRE ROGERIO DE ARAUJO ANDRADE,titular,,,renuncia,renunciou em dezembro de 2016.
18,Samuel Junior,SAMUEL SANTANA COUTO JUNIOR,suplente,,,suplente_efetivado,"assumiu efetivamente o mandato em 02/01/2017, em decorrência da renúncia do dep."
18,Vando,EDIVAN FERNANDES DE ALMEIDA,titular,,,renuncia,renunciou em dezembro de 2016.
18,Vitor Bonfim,JOAO VITOR DE CASTRO LINO BONFIM,titular,,2015-11-24,licenca,"licenciou-se de 24/11/2015 a 6/04/2018, para assumir o cargo de secretário da Secretaria da Agricultura, Pecuária, irrigação, Pesca e Aquicultura do Estado da Bahia."
19,Carlos Geilson,CARLOS GEILSON DOS SANTOS SILVA,suplente,2020-11-25,,suplente_efetivado,foi empossado em 25/11/2020 substituindo o deputado licenciado Leo Prates (PDT) até 29 de mar. 2022.
19,Janio Natal,JANIO NATAL ANDRADE BORGES,titular,,2020-12-31,renuncia,"renunciou o mandato em 31/12/2020, para assumir a prefeitura de Porto Seguro em 01/01/2021 ("
