metodo_pareamento,uf,sg_ue,ano_eleicao_bocel,nome_fonte,nome_parlamentar,nm_cand_tse,nome_urna_tse,id_mandato_bocel,titular,data_inicio_mandato,data_fim_mandato,forma_saida,url
tokens_nome_parlamentar,BA,36218,2000,ANTONIO CESAR CATABRIGA,ANTONIO CATABRIGA,ANTONIO CEZAR CATABRIGA,TONINHO CATABRIGA,M2000_36218_13_15650_111,TRUE,2001-01-01,2004-12-31,fim_regular,https://sapl.itanhem.ba.leg.br/api/parlamentares/mandato/135/
tokens_nome_parlamentar,MG,41491,2020,Ronicelson Andrade Pereira,Ronicelson de Andrade Pereira,RONICELSON ANDRADE PEREIRA,MAGAIVER,M2020_41491_13_15715_130000848562,TRUE,2021-01-01,2024-12-31,fim_regular,https://sapl.bomjardimdeminas.mg.leg.br/api/parlamentares/mandato/36/
tokens_nome_parlamentar,MG,40894,2000,Saint-Clair Carneiro Valadares de Almeida,Saint-Clair  Valadares,SAINT CLAIR CARNEIRO VALADARES DE ALMEIDA,SANCLAIR DE ASSUERO,M2000_40894_13_25650_265,TRUE,2001-01-01,2004-12-31,fim_regular,https://sapl.arinos.mg.leg.br/api/parlamentares/mandato/108/
tokens_nome_parlamentar,BA,34991,2000,Iraci Almeida Barbosa,Iraci Almeida Barbosa,IRACI DE ALMEIDA BARBOSA,IRACI,M2000_34991_13_14699_111,TRUE,2001-01-01,2004-12-31,fim_regular,https://sapl.dariomeira.ba.leg.br/api/parlamentares/mandato/112/
tokens_nome_parlamentar,MT,98655,2024,Pedro Paulo Tseresii're Sereparan,Pedro Paulo Tseresii're Sereparan,PEDRO PAULO TSERESII SEREPARAN,PEDRO PAULO TSEREPARAN,M2024_98655_13_13195_110002319708,TRUE,2025-01-01,2028-12-31,fim_regular,https://sapl.campinapolis.mt.leg.br/api/parlamentares/mandato/117/
tokens_nome_parlamentar,RS,89516,2000,Liliane Riela,Liliane Repiso Riela,LILIANE REPISO RIELA,LILIANE,M2000_89516_13_14789_200,TRUE,2001-01-01,2004-12-31,fim_regular,https://sapl.uruguaiana.rs.leg.br/api/parlamentares/mandato/37/
tokens_nome_parlamentar,PB,19933,2000,Marcus Túllius eixas de Araújo,Marcus Túllius Seixas de Araújo,MARCUS TULLIUS SEIXAS DE ARAÚJO,MARCUS TULLIUS SEIXAS,M2000_19933_13_45111_468,TRUE,2001-01-01,2004-12-31,fim_regular,https://sapl.conde.pb.leg.br/api/parlamentares/mandato/97/
tokens_nome_parlamentar,MG,44636,2020,Flávio Mendes de Silva,Flávio Mendes da Silva,FLÁVIO MENDES DA SILVA,FLÁVIO CABOCLO,M2020_44636_13_19800_130001023557,TRUE,2021-01-01,2024-12-31,fim_regular,https://sapl.doresdoindaia.mg.leg.br/api/parlamentares/mandato/6/
tokens_nome_parlamentar,SC,81825,2024,Marisete Pereira Susin,Marisete Pereira Susin,MARISETE APARECIDA PEREIRA SUSIN,MARISETE PRETA,M2024_81825_13_15615_240002352540,TRUE,2025-01-01,2028-12-31,fim_regular,https://sapl.zortea.sc.leg.br/api/parlamentares/mandato/79/
tokens_nome_parlamentar,MT,90425,2004,LEANI F. RICHTER,LEANI F. RICHTER,LEANI FRIEDRICH RICHTER,NECA,M2004_90425_13_11000_317,TRUE,2005-01-01,2008-12-31,fim_regular,https://sapl.cotriguacu.mt.leg.br/api/parlamentares/mandato/40/
tokens_nome_parlamentar_no_nome_de_urna,SC,81663,2004,Marlon Neuber,Marlon,MARLON ROBERTO NEUBER,MARLON NEUBER,M2004_81663_13_15015_326,TRUE,2005-01-01,2008-12-31,fim_regular,https://sapl.itapoa.sc.leg.br/api/parlamentares/mandato/74/
tokens_nome_parlamentar_no_nome_de_urna,PR,74250,2020,Rodrigo Lievore Recife,Rodrigo Recife,RODRIGO LAUER LIEVORE,RODRIGO LIEVORE (RECIFE),M2020_74250_13_25000_160000658290,TRUE,2021-01-01,2024-12-31,fim_regular,https://sapl.apucarana.pr.leg.br/api/parlamentares/mandato/332/
tokens_nome_parlamentar_no_nome_de_urna,PB,19283,2020,Pedro Ferreira,Pedro Zumin,PEDRO FERREIRA DOS SANTOS,PEDRO DE ZUMIN,M2020_19283_13_22789_150000840588,TRUE,2021-01-01,2024-12-31,fim_regular,https://sapl.sossego.pb.leg.br/api/parlamentares/mandato/9/
tokens_nome_parlamentar_no_nome_de_urna,PR,74071,2016,Claudevir Macedo Martin Garcia,Tiriva,CLAUDEVIR MACEDO MARTIM GARCIA,TIRIVA DA AUTO ESCOLA,M2016_74071_13_11000_160000010105,TRUE,2017-01-01,2020-12-31,fim_regular,https://sapl.almirantetamandare.pr.leg.br/api/parlamentares/mandato/106/
tokens_nome_parlamentar_no_nome_de_urna,PE,24252,2024,Wanderson Silva de Menezes,Vanvan,WANDERSON SILVA DE MENESES,VANVAN MENESES,M2024_24252_13_55555_170002246318,TRUE,2025-01-01,2028-12-31,fim_regular,https://sapl.granito.pe.leg.br/api/parlamentares/mandato/13/
tokens_nome_parlamentar_no_nome_de_urna,PR,74870,2016,Paulo Cesar Lotherman,Paulo,PAULO CESAR LOTHERMANN,PAULO LOTHERMANN,M2016_74870_13_45123_160000005564,TRUE,2017-01-01,2020-12-31,fim_regular,https://sapl.capanema.pr.leg.br/api/parlamentares/mandato/10/
tokens_nome_parlamentar_no_nome_de_urna,PE,24252,2020,Wanderson Silva de Menezes,Vanvan,WANDERSON SILVA DE MENESES,VANVAN MENESES,M2020_24252_13_13222_170000826188,TRUE,2021-01-01,2024-12-31,fim_regular,https://sapl.granito.pe.leg.br/api/parlamentares/mandato/7/
tokens_nome_parlamentar_no_nome_de_urna,PR,74713,2000,Almiro V. Uchôa,Almiro V. Uchôa,ALMIRO DE VASCONCELOS UCHOA,DR. ALMIRO UCHOA,M2000_74713_13_45500_64,TRUE,2001-01-01,2004-12-31,fim_regular,https://sapl.cambe.pr.leg.br/api/parlamentares/mandato/134/
tokens_nome_parlamentar_no_nome_de_urna,PR,75604,2024,JUSSARA MACEDO MATOS,JUSSARA,JUSSARA MACEDO DE MATOS,JUSSARA DA APAE,M2024_75604_13_15015_160002157891,TRUE,2025-01-01,2028-12-31,fim_regular,https://sapl.reservadoiguacu.pr.leg.br/api/parlamentares/mandato/6/
tokens_nome_parlamentar_no_nome_de_urna,PR,74179,2024,Alex Cesca,Alex,ALEX CESCA DA SILVA,ALEX CESCA,M2024_74179_13_44244_160002221648,TRUE,2025-01-01,2028-12-29,fim_regular,https://sapl.ampere.pr.leg.br/api/parlamentares/mandato/5/
