condicao,forma_saida,N
suplente,suplente_efetivado,118
suplente,renuncia,1
titular,nao_observado,311
titular,fim_regular,117
titular,outro,32
titular,licenca,21
titular,falecimento,7
titular,cassacao,2
titular,renuncia,2
titular,nao_tomou_posse,1
