"rodada","amostra","na_amostra_40","idx","id_mandato_bocel","data_diario","confianca","evento_inferido","evento_ancorado","metodo_pareamento","motivo_rebaixamento","nome","correto","motivo_erro","trecho"
"regra_v3_corroboracao_mandato","30_alta","TRUE","1","M2012_90514_13_13113_120000002788","2015-01-23","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"JOSÉ ORCÍRIO MIRANDA DOS SANTOS",1,"NA","Arleon Carlos Stelini, Alberto Kalache, Marcelo Barbosa Alves Vieira, Sebastião Rolon Neto, Gianni Yara da Costa Lessa dos Santos. DIOGRANDE n. 4.195PÁGINA 11 - sexta-feira, 23 de janeiro de 2015 CONVOCAÇÃO Em decorrência do pedido de <<RENÚNCIA do Vereador>> JOSÉ ORCÍRIO MIRANDA DOS SANTOS, protocolizado nesta Casa, e com base no art. 99 do Regimento Interno deste Poder, convoco o suplente MARCOS ALEX AZEVEDO DE MELLO, eleito no pleito realizado no dia 07 de outubro de 2012, para assunção à"
"regra_v3_corroboracao_mandato","30_alta","TRUE","2","M2020_70718_13_17123_250001090497","2023-06-19","alta","licenca","licenca","nome_completo_no_trecho",NA,"RUI SERGIO GOMES DE ROSIS",1,"NA","SECRETÁRIO LEGISLATIVO 19 de junho de 2023 Diário Oficial de Santos64 A Câmara Municipal de Santos aprovou, na 32ª Sessão Ordinária realizada, em 30 de maio de 2023, e a Mesa Diretora promulga a seguinte: RESOLUÇÃO Nº 13 16 DE JUNHO DE 2023 <<LICENÇA DO VEREADOR>> RUI SÉRGIO GOMES DE ROSIS E DÁ OUTRAS PROVIDÊNCIAS Art. 1º Fica concedida licença sem remuneração, para tratar de interesse particular, no período de 06/06/2023 a 20/06/202, ao Vereador Rui Sérgio Gomes de Rosis – UNIÃO BRASIL, na forma do"
"regra_v3_corroboracao_mandato","30_alta","TRUE","3","M2020_58130_11_12_190001150041","2023-07-18","alta","falecimento","falecimento","nome_completo_no_trecho",NA,"JOSÉ BONIFÁCIO FERREIRA NOVELLINO",1,"NA","Municipal de Educação de Cabo Frio, no uso das suas atribuições legais, em atendimento ao disposto no Edital SEME nº 055/2023 e considerando o Decreto Nº 7.124 de 17 de julho de 2023, que declarou ponto facultativo nessa data em razão do <<falecimento do Prefeito>> José Bonifácio Ferreira Novellino, torna pública Errata ao Edital SEME nº 061/2023, para retificação das datas constantes na redação dos itens 2. e 3.8. ONDE SE LÊ: 2. CONVOCA os candidatos a comparecerem no dia 17/07/2023 às 8h e"
"regra_v3_corroboracao_mandato","30_alta","TRUE","4","M2016_90514_13_15777_120000007205","2017-02-17","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"PAULO SIUFI NETO",1,"NA","cargo de Prefeita do Município de Dourados-MS. Sendo o que se apresenta na oportunidade, queira aceitar os meus sinceros votos de estima e consideração. Campo Grande-MS, 6 de fevereiro de 2017. PAULO SIUFI Vereador DESPACHO Recebo o pedido de <<RENÚNCIA>> do Vereador PAULO SIUFI NETO, a partir de 7 de fevereiro de 2017, reconhecendo a sua legitimidade posto que fundamentado no Art. 101 do Regimento Interno (Resolução n. 1.109/2009). Publique-se no Diário Oficial do Município de Campo Grande-MS"
"regra_v3_corroboracao_mandato","30_alta","TRUE","5","M2012_72257_13_43007_250000038738","2016-08-19","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"CÉSAR ROCHA ANDRADE DA SILVA",0,"ato_que_suspende_os_efeitos_da_cassacao_lido_como_cassacao","Eleitoral de São Paulo, nos autos da Petição nº 7-04.2016.6.26.0000, datada de 15 de agosto de 2016 e recebida por esta Presidência na presente data. RESOLVE: Art. 1º. São suspensos os efeitos do Ato nº 04 de 04 de agosto de 2016, que declarou a <<perda do mandato>> eletivo do vereador César Rocha Andrade da Silva, decretada pela Justiça Eleitoral. Art. 2º. Este Ato entra em vigor nesta data. Câmara Municipal de Valinhos, aos 16 de agosto de 2016. Publique-se. Sidmar Rodrigo Toloi Presidente Publicado"
"regra_v3_corroboracao_mandato","30_alta","TRUE","6","M2016_90670_11_15_110000007470","2017-08-21","alta","licenca","licenca","nome_completo_no_trecho",NA,"EMANUEL PINHEIRO",1,"NA"," sessão solene no Plenário das Deliberações da Câmara Municipal de Cuiabá, compareceu o Senhor Niuan Ribeiro Roberto, Vice-Prefeito do município de Cuiabá, para assumir o cargo de Prefeito Municipal de Cuiabá, tendo em vista a <<licença do Prefeito>> Municipal Excelentíssimo Senhor Emanuel Pinheiro nos termos do Art. 39 da Lei Orgânica do Município. O Presidente da Câmara Municipal de Cuiabá no uso da palavra saudou os presentes e convidou o empossado a se aproximar, fazer a entrega"
"regra_v3_corroboracao_mandato","30_alta","TRUE","7","M2024_62294_13_11777_250002126618","2025-07-17","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"JOSÉ FERMINO GROSSO",1,"NA","artigo 8º, § 1º, do Decreto-lei 201/67; artigo 25, inciso IX, da Lei Orgânica do Município de Birigui; e artigo 26, inciso III, alínea “d”, da Resolução 216/98 (Regimento Interno da Câmara Municipal de Birigui), RESOLVE Art. 1º - Declarar a <<perda do mandato>> eletivo do Vereador JOSÉ FERMINO GROSSO, em razão da suspensão de seus direitos políticos, nos termos da decisão proferida pela 10ª Câmara de Direito Criminal do Tribunal de Justiça de São Paulo, nos autos da Ação Penal 1002160-41"
"regra_v3_corroboracao_mandato","30_alta","TRUE","8","M2024_58572_13_44777_190001953012","2025-06-03","alta","licenca","licenca","nome_completo_no_trecho",NA,"ANDERSON DE SOUZA SARPA SANTOS",1,"NA","conforme o art. 83 do Regimento da Câmara Municipal de Miguel Pereira c/c o art. 44, § 1º, da Lei Orgânica Municipal, RESOLVE: Art. 1º CONVOCAR o suplente de vereador pelo União Brasil – UNIÃO, Exmo. Sr. CLEVERTON DA SILVA SALVADO, em razão da <<licença do Vereador>> Anderson de Souza Sarpa Santos, nomeado para ocupar o cargo de Secretário Municipal de Proteção e Defesa dos Animais, nos termos do Decreto “P” n.º 713, de 2 de junho de 2025. Parágrafo Único. O suplente convocado tomará posse no prazo"
"regra_v3_corroboracao_mandato","30_alta","TRUE","9","M2020_58130_11_12_190001150041","2023-07-18","alta","falecimento","falecimento","nome_completo_no_trecho",NA,"JOSÉ BONIFÁCIO FERREIRA NOVELLINO",1,"NA","Municipal de Educação de Cabo Frio, no uso das suas atribuições legais, em atendimento ao disposto no Edital SEME nº 055/2023 e considerando o Decreto Nº 7.124 de 17 de julho de 2023, que declarou ponto facultativo nessa data, em razão do <<falecimento do Prefeito>> José Bonifácio Ferreira Novellino, 1. DIVULGA na presente data, em anexo, listagem com os resultados das análises dos currículos e documentos dos candidatos inscritos no Processo Seletivo por Análise de Currículo para os cargos de Auxiliar"
"regra_v3_corroboracao_mandato","30_alta","TRUE","10","M2024_58530_13_13613_190002066763","2025-03-17","alta","licenca","licenca","nome_completo_no_trecho",NA,"JORGE LUIZ CORDEIRO DA COSTA",1,"NA","Vereador, a Senhora CHISTIANE DE LIMA CORREA BOTELHO – PT - eleito em 06 de ou- tubro de 2024 e diplomado pelo Tribunal Eleitoral do Estado do Rio de Janeiro, no Gabinete da Presidência, a fim de tomar posse em vaga decorrente do pedido de <<licença do Vereador>> Jorge Luiz Cordeiro da Costa - PT, que ocupará a Secretaria de Relações Internacionais. A Suplente empossou-se nesta data, prestando compromisso e pos- se, atendendo ao que preceitua o art. 91 § 1º, da Lei Orgânica do Mu- nicípio, e entrou"
"regra_v3_corroboracao_mandato","30_alta","TRUE","11","M2020_90514_13_13067_120000725205","2023-01-31","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"CAMILA BAZACHI JARA MARZOCHI",1,"NA","com o estabelecido no art. 67, inciso I, da Lei Orgânica do Município, com efeito a partir da data de publicação. CAMPO GRANDE-MS, 31 DE JANEIRO DE 2023. ADRIANE BARBOSA NOGUEIRA LOPES Prefeita Municipal CONVOCAÇÃO Em decorrência do pedido de <<renúncia>> da Vereadora Camila Bazachi Jara Marzochi, protocolizado nesta Casa sob. n. 800/2023 e com base no art. 99 do Regimento Interno deste Poder Legislativo, convoco a suplente Luiza Ribeiro Gonçalves, eleita no pleito realizado no dia 15 de novembro"
"regra_v3_corroboracao_mandato","30_alta","TRUE","12","M2020_75353_13_55538_160001175305","2022-05-30","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"EDER FABIANO BORGES ADÃO",1,"NA","do Governo Municipal DECRETO Nº 734 O PREFEITO MUNICIPAL DE CURITIBA, CAPITAL DO ESTADO DO PARANÁ, no uso das atribuições legais que lhe foram conferidas pelo inciso IV do artigo 72 da Lei Orgânica do Município de Curitiba, Declara a <<perda do mandato>> do Senhor Vereador EDER FABIANO BORGES ADÃO, nos termos do art. 22, IV e § 3º, da Lei Orgânica do Município de Curitiba. Poder Executivo PREFEITURA MUNICIPAL DE CURITIBA - PMC Decreta luto oficial. Decreta luto oficial. DIÁRIO OFICIAL"
"regra_v3_corroboracao_mandato","30_alta","TRUE","13","M2020_13480_11_22_60000634235","2022-08-06","alta","falecimento","falecimento","nome_completo_no_trecho",NA,"PAULO CESAR FEITOSA ARRAIS",1,"NA","NÚMERO: 689/2022 - 06/08/2022PREFEITURA MUNICIPAL DE ITAITINGA/CE | EXECUTIVO | GABINETE DO PREFEITO - DECRETOS - DECRETO: 031/2022 DECRETO Nº 031/2022, DE 06 DE AGOSTO DE 2022 . Decreta LUTO OFICIAL no Município de Itaitinga pelo <<falecimento do Prefeito>> Municipal Sr. PAULO CÉSAR FEITOSA ARRAIS, e dá outras providências. O PREFEITO DO MUNICÍPIO DE ITAITINGA, Estado do Ceará, no uso das atribuições que lhe confere o art. 80, IX, da Lei Orgânica do Município, e CONSIDERANDO o falecimento"
"regra_v3_corroboracao_mandato","30_alta","TRUE","14","M2020_58530_13_65065_190000852517","2022-05-23","alta","licenca","licenca","nome_completo_no_trecho",NA,"MARCUS TOSELLI",1,"NA","contrato cujo objeto é o 1º USO DA ATA 07/2022 – SERVIÇO DE LOCAÇÃO DE VEÍCULOS. Resolve: e diplomado pelo Tribunal Eleitoral do Estado do Rio de Janeiro, no Gabinete da Presidência, a fim de tomar posse em vaga decorren- te do pedido de <<licença do Vereador>> Marcus Toselli (Bambam), que ocupará a Secretaria do trabalho da Prefeitura Municipal de Maricá. O Suplente empossou-se nesta data, prestando compromisso e pos- se, atendendo ao que preceitua o art. 91 § 1º, da Lei Orgânica do Mu- nicípio,"
"regra_v3_corroboracao_mandato","30_alta","TRUE","15","M2008_02550_12_14_758","2011-01-21","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"CARLOS ALBERTO CAVALCANTE DE SOUZA",1,"NA","conferidas pelo art. 20 do Regimento Interno e art. 36 da Lei Orgânica do Município de Manaus e, considerando o Ofício n. 034/11-GP, da lavra do Senhor Prefeito de Manaus, bem como pedido de <<renúncia>> do Exmo. Sr. Vice-Prefeito, Carlos Alberto Cavalcante de Souza. DECLARA: Extinto o mandato, por <<renúncia>>, do Exmo. Vice-Prefeito do Município de Manaus, senhor CARLOS ALBERTO CAVALCANTE DE SOUZA, com base no art. 82, inciso II, “d”, da Lei Orgânica do Município de Manaus. Cientifique-se, cumpra-se"
"regra_v3_corroboracao_mandato","30_alta","TRUE","16","M2016_71030_11_23_250000057682","2018-03-20","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"RICARDO SALARO NETO",0,"ato_que_suspende_os_efeitos_da_cassacao_lido_como_cassacao","DECRETO LEGISLATIVO Nº 01/2018 CÂMARA MUNICIPAL DE SÃO MANUEL - ESTADO DE SÃO PAULO – DECRETO LEGISLATIVO Nº 01/2018 De 19 de maço de 2018 “Decreta a suspensão dos efeitos do Decreto Legislativo nº 07/2017, que teve por objeto a <<cassação>> do mandato do Prefeito Municipal, Ricardo Salaro Neto, em face de condenação por prática de infração político-administrativa.” A Mesa da Câmara Municipal de São Manuel, Estado de São Paulo, no uso de suas atribuições legais, CONSIDERANDO"
"regra_v3_corroboracao_mandato","30_alta","TRUE","17","M2012_90514_13_13113_120000002788","2015-01-23","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"JOSÉ ORCÍRIO MIRANDA DOS SANTOS",1,"NA","Membros: Arleon Carlos Stelini, Alberto Kalache, Marcelo Barbosa Alves Vieira, Sebastião Rolon Neto, Gianni Yara da Costa Lessa dos Santos. DIOGRANDE n. 4.195PÁGINA 11 - sexta-feira, 23 de janeiro de 2015 CONVOCAÇÃO Em decorrência do pedido de <<RENÚNCIA>> do Vereador JOSÉ ORCÍRIO MIRANDA DOS SANTOS, protocolizado nesta Casa, e com base no art. 99 do Regimento Interno deste Poder, convoco o suplente MARCOS ALEX AZEVEDO DE MELLO, eleito no pleito realizado no dia 07 de outubro de 2012, para assunção"
"regra_v3_corroboracao_mandato","30_alta","TRUE","18","M2024_35157_13_22444_50001956470","2026-06-11","alta","licenca","licenca","nome_completo_no_trecho",NA,"ISMAEL BASTOS DE SANTANA",1,"NA","especial o que dispõe o Regimento Interno da Casa no inciso II, do artigo 142, convoca o primeiro suplente de Vereador pelo Partido Liberal (PL), o Sr. Fabiano Nascimento de Souza, para tomar posse no cargo de Vereador, em virtude do pedido de <<licença do Vereador>> Ismael Bastos de Santana, desde hoje, 10 de junho de 2026, sem vencimento, conforme art. 128, I, do Regimento Interno desta Casa Legislativa. Publique-se. Registre-se. Cumpra-se. Gabinete da Presidência da Câmara Municipal de Feita de"
"regra_v3_corroboracao_mandato","30_alta","TRUE","19","M2020_81051_13_22777_240000890441","2024-03-04","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"MAIKON DA COSTA",1,"NA","PRESIDENTE DA CÂMARA MUNICIPAL DE FLORIANÓPOLIS, no uso de suas atribuições e em cumprimento a decisão do Plenário referente à Denúncia n. 014/2023, ocorrida na Sessão Ordinária do dia 4 de março de 2024, RESOLVE: Art. 1º Fica declarada a <<perda do mandato>> do Vereador Maikon da Costa, na forma do inciso IV do art. 15 e inciso I, alíneas “a”, “b”, “c” e “h” e alíneas “b” e “c” do inciso III do art. 6º da Lei Complementar n. 722, de 2022. Art. 2º Este Ato entra em vigor na data de sua publicação"
"regra_v3_corroboracao_mandato","30_alta","TRUE","20","M2020_70718_13_11611_250001085158","2022-06-23","alta","licenca","licenca","nome_completo_no_trecho",NA,"ADILSON DOS SANTOS JUNIOR",1,"NA","C/C 01 034.709-8 Santos, 21 de junho de 2022 VISON BORGES LUZ A Câmara Municipal de Santos aprovou, na 36ª Sessão Ordinária realizada, em 14 de junho de 2022, e a Mesa Diretora promulga a seguinte: RESOLUÇÃO Nº 10 14 DE JUNHO DE 2022 <<LICENÇA DO VEREADOR>> ADILSON DOS SAN- TOS JUNIOR, E DÁ OUTRAS PROVIDÊNCIAS Art. 1º O Vereador Adilson dos Santos Junior en- contra-se de licença, nos termos previstos no in- ciso II do artigo 73 do Regimento Interno, a partir de 10/06/2022 a 18/06/2022, para"
