nome_wiki,inicio_txt,fim_txt,eleito_txt,partido_wiki,observacao_original,inicio,fim,uf,cargo,legislatura,condicao,url_pagina,revisao
"Francisco de Barros","8 de setembro de 1994","9 de outubro de 1994",NA,"—","Presidente do tribunal de Justiça do Ceará assume com a renuncia do titular","1994-09-08","1994-10-09","CE","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Ceará","72864151"
"Francisco Aguiar","9 de outubro de 1994","1º de janeiro de 1995",NA,"Partido da Social Democracia Brasileira PSDB","Presidente da Assembléia eleito pelo voto indireto","1994-10-09","1995-01-01","CE","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Ceará","72864151"
"Tasso Jereissati","1º de janeiro de 1995","1º de janeiro de 1999",NA,"Partido da Social Democracia Brasileira PSDB","Governador eleito em sufrágio universal","1995-01-01","1999-01-01","CE","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Ceará","72864151"
"Tasso Jereissati","1º de janeiro de 1999","6 de abril de 2002",NA,"Partido da Social Democracia Brasileira PSDB","Governador reeleito renunciou o mandato","1999-01-01","2002-04-06","CE","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Ceará","72864151"
"Beni Veras","6 de abril de 2002","1º de janeiro de 2003",NA,"Partido da Social Democracia Brasileira PSDB","Vice-Governador que assume com a renuncia do titular","2002-04-06","2003-01-01","CE","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Ceará","72864151"
"Lúcio Alcântara","1º de janeiro de 2003","1º de janeiro de 2007",NA,"Partido da Social Democracia Brasileira PSDB","Governador eleito em sufrágio universal","2003-01-01","2007-01-01","CE","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Ceará","72864151"
"Cid Gomes","1º de janeiro de 2007","1º de janeiro de 2011",NA,"Partido Socialista Brasileiro PSB","Governador eleito em sufrágio universal","2007-01-01","2011-01-01","CE","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Ceará","72864151"
"Cid Gomes","1º de janeiro de 2011","1º de janeiro de 2015",NA,"Partido Republicano da Ordem Social PROS","Governador reeleito em sufrágio universal","2011-01-01","2015-01-01","CE","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Ceará","72864151"
"Camilo Santana","1º de janeiro de 2015","1º de janeiro de 2019",NA,"Partido dos Trabalhadores PT","Governador eleito em sufrágio universal","2015-01-01","2019-01-01","CE","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Ceará","72864151"
"Camilo Santana","1º de janeiro de 2019","2 de abril de 2022",NA,"Partido dos Trabalhadores PT","Governador reeleito renunciou o mandato","2019-01-01","2022-04-02","CE","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Ceará","72864151"
"Izolda Cela","2 de abril de 2022","1.º de janeiro de 2023",NA,"Partido Democrático Trabalhista PDT","Vice-governadora que assume com a renúncia do titular","2022-04-02","2023-01-01","CE","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Ceará","72864151"
"Elmano de Freitas","1.º de janeiro de 2023","em exercício",NA,"Partido dos Trabalhadores PT","Governador eleito em sufrágio universal","2023-01-01",NA,"CE","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Ceará","72864151"
"Vitor Buaiz","1.º de janeiro de 1995","1.º de janeiro de 1999",NA,NA,"","1995-01-01","1999-01-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"Vitor Buaiz","1.º de janeiro de 1995","1.º de janeiro de 1999",NA,NA,"","1995-01-01","1999-01-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"José Ignácio Ferreira","1.º de janeiro de 1999","1.º de janeiro de 2003",NA,NA,"","1999-01-01","2003-01-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"José Ignácio Ferreira","1.º de janeiro de 1999","1.º de janeiro de 2003",NA,NA,"","1999-01-01","2003-01-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"José Ignácio Ferreira","1.º de janeiro de 1999","1.º de janeiro de 2003",NA,NA,"","1999-01-01","2003-01-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"José Ignácio Ferreira","1.º de janeiro de 1999","1.º de janeiro de 2003",NA,NA,"","1999-01-01","2003-01-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"Paulo Hartung","1.º de janeiro de 2003","1.º de janeiro de 2007",NA,NA,"","2003-01-01","2007-01-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"Paulo Hartung","1.º de janeiro de 2007","1.º de janeiro de 2011",NA,NA,"","2007-01-01","2011-01-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"Renato Casagrande","1.º de janeiro de 2011","1.º de janeiro de 2015",NA,NA,"","2011-01-01","2015-01-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"Paulo Hartung","1.º de janeiro de 2015","1.º de janeiro de 2019",NA,NA,"","2015-01-01","2019-01-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"Paulo Hartung","1.º de janeiro de 2015","1.º de janeiro de 2019",NA,NA,"","2015-01-01","2019-01-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"Renato Casagrande","1.º de janeiro de 2019","1.º de janeiro de 2023",NA,NA,"","2019-01-01","2023-01-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"Renato Casagrande","1º de janeiro de 2023","1° de abril de 2026",NA,NA,"","2023-01-01","2026-04-01","ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"Ricardo Ferraço","02 de abril de 2026","em exercicio",NA,NA,"Vice-Governador no cargo de titular.","2026-04-02",NA,"ES","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Espírito_Santo","72701022"
"José de Ribamar Fiquene","2 de abril de 1994","1º de janeiro de 1995",NA,"Partido da Frente Liberal PFL","Vice-Governador eleito,assumiu após a renuncia do titular","1994-04-02","1995-01-01","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"Roseana Sarney","1º de janeiro de 1995","1º de janeiro de 1999",NA,"Partido da Frente Liberal PFL","Governadora eleita emsufrágio universal","1995-01-01","1999-01-01","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"Roseana Sarney","1º de janeiro de 1999","5 de abril de 2002",NA,"Partido da Frente Liberal PFL","Governadora reeleitaem sufrágio universal","1999-01-01","2002-04-05","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"José Reinaldo Tavares","5 de abril de 2002","1º de janeiro de 2003",NA,"Partido da Frente LiberalPFL","Vice-Governador eleito, assumiu após a renúncia da titular","2002-04-05","2003-01-01","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"José Reinaldo Tavares","1º de janeiro de 2003","1º de janeiro de 2007",NA,"Partido da Frente LiberalPFL","Governador reeleito em sufrágio universal","2003-01-01","2007-01-01","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"José Reinaldo Tavares","1º de janeiro de 2003","1º de janeiro de 2007",NA,"Partido Trabalhista BrasileiroPTB","Governador reeleito em sufrágio universal","2003-01-01","2007-01-01","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"José Reinaldo Tavares","1º de janeiro de 2003","1º de janeiro de 2007",NA,"Partido Socialista BrasileiroPSB","Governador reeleito em sufrágio universal","2003-01-01","2007-01-01","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"Jackson Lago","1º de janeiro de 2007","17 de abril de 2009",NA,"Partido Democrático Trabalhista PDT","Governador eleito em sufrágiouniversal, cassado em 3 de março de 2009","2007-01-01","2009-04-17","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"Roseana Sarney","17 de abril de 2009","1º de janeiro de 2011",NA,"Partido do Movimento Democrático Brasileiro PMDB","Segundo lugar nas eleições de 2006,assumiu após a cassação do titular","2009-04-17","2011-01-01","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"Roseana Sarney","1º de janeiro de 2011","10 de dezembro de 2014",NA,"Partido do Movimento Democrático Brasileiro PMDB","Governadora reeleitaem sufrágio universal","2011-01-01","2014-12-10","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"Arnaldo Melo","10 de dezembro de 2014","1º de janeiro de 2015",NA,"Partido do Movimento Democrático Brasileiro PMDB","Presidente da Assembleia Legislativa","2014-12-10","2015-01-01","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"Flávio Dino","1º de janeiro de 2015","1º de janeiro de 2019",NA,"Partido Comunista do BrasilPCdoB","Governador eleito em sufrágio universal","2015-01-01","2019-01-01","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"Flávio Dino","1º de janeiro de 2019","2 de abril de 2022",NA,"Partido Comunista do BrasilPCdoB","Governador reeleito em sufrágio universal","2019-01-01","2022-04-02","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"Flávio Dino","1º de janeiro de 2019","2 de abril de 2022",NA,"Partido Socialista BrasileiroPSB","Governador reeleito em sufrágio universal","2019-01-01","2022-04-02","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"Carlos Brandão","2 de abril de 2022","1° de janeiro de 2023",NA,"Partido Socialista Brasileiro PSB","Vice-Governador eleito,assumiu após a renuncia do titular","2022-04-02","2023-01-01","MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"Carlos Brandão","1° de janeiro de 2023","em exercício",NA,"Partido Socialista Brasileiro PSB","Governador reeleito em sufrágio universal","2023-01-01",NA,"MA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Maranhão","72806694"
"Carlos José Santos","3 de abril de 1994","1.º de janeiro de 1995",NA,NA,"Vice-governador eleito assumiu após a renúncia do titular.","1994-04-03","1995-01-01","PA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Pará","72888854"
"Almir Gabriel","1.º de janeiro de 1995","1.º de janeiro de 1999",NA,NA,"Governador e vice eleitos em sufrágio universal.","1995-01-01","1999-01-01","PA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Pará","72888854"
"Almir Gabriel","1.º de janeiro de 1999","1.º de janeiro de 2003",NA,NA,"Governador reeleito e vice eleito em sufrágio universal.","1999-01-01","2003-01-01","PA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Pará","72888854"
"Simão Jatene","1.º de janeiro de 2003","1.º de janeiro de 2007",NA,NA,"Governador e vice eleitos em sufrágio universal.","2003-01-01","2007-01-01","PA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Pará","72888854"
"Ana Júlia Carepa","1.º de janeiro de 2007","1.º de janeiro de 2011",NA,NA,"Governadora e vice eleitos em sufrágio universal.","2007-01-01","2011-01-01","PA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Pará","72888854"
"Simão Jatene","1.º de janeiro de 2011","1.º de janeiro de 2015",NA,NA,"Governador e vice eleitos em sufrágio universal.","2011-01-01","2015-01-01","PA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Pará","72888854"
"Simão Jatene","1.º de janeiro de 2015","1.º de janeiro de 2019",NA,NA,"Governador reeleito e vice eleito em sufrágio universal.","2015-01-01","2019-01-01","PA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Pará","72888854"
"Helder Barbalho","1.º de janeiro de 2019","26 de abril de 2021",NA,NA,"Governador e vice eleitos em sufrágio universal.","2019-01-01","2021-04-26","PA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Pará","72888854"
"Helder Barbalho","26 de abril de 2021","1.º de janeiro de 2023",NA,NA,"Vice-governador renunciou ao mandato.","2021-04-26","2023-01-01","PA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Pará","72888854"
"Helder Barbalho","1.º de janeiro de 2023","2 de abril de 2026",NA,NA,"Governador reeleito e vice eleita em sufrágio universal.","2023-01-01","2026-04-02","PA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Pará","72888854"
"Hana Ghassan","2 de abril de 2026","Em exercício",NA,NA,"Vice-governadora eleita assumiu após a renúncia do titular.","2026-04-02",NA,"PA","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Pará","72888854"
"Mário Pereira","2 de abril de 1994","1 de janeiro de 1995",NA,"Partido do Movimento Democrático Brasileiro PMDB","Vice-governador eleito por sufrágio universal, assumiu em face da reúncia do titular","1994-04-02","1995-01-01","PR","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Paraná","72634629"
"Jaime Lerner","1 de janeiro de 1995","1 de janeiro de 1999",NA,"Partido Democrático Trabalhista PDT","Governador eleito por sufrágio universal","1995-01-01","1999-01-01","PR","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Paraná","72634629"
"Jaime Lerner","1 de janeiro de 1999","1 de janeiro de 2003",NA,"Partido da Frente Liberal PFL","Governador reeleito por sufrágio universal","1999-01-01","2003-01-01","PR","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Paraná","72634629"
"Roberto Requião","1 de janeiro de 2003","4 de setembro de 2006",NA,"Partido do Movimento Democrático Brasileiro PMDB","Governador eleito por sufrágio universal","2003-01-01","2006-09-04","PR","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Paraná","72634629"
"Hermas Brandão","4 de setembro de 2006","1º de janeiro de 2007",NA,"Partido da Social Democracia Brasileira - PSDB","Presidente da Assembleia Legislativa","2006-09-04","2007-01-01","PR","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Paraná","72634629"
"Roberto Requião","1 de janeiro de 2007","1 de abril de 2010",NA,"Partido do Movimento Democrático Brasileiro PMDB","Governador reeleito por sufrágio universal","2007-01-01","2010-04-01","PR","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Paraná","72634629"
"Orlando Pessuti","1 de abril de 2010","1 de janeiro de 2011",NA,"Partido do Movimento Democrático Brasileiro PMDB","Vice-governador eleito por sufrágio universal, assumiu em face da renúncia do titular","2010-04-01","2011-01-01","PR","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Paraná","72634629"
"Beto Richa","1 de janeiro de 2011","1 de janeiro de 2015",NA,"Partido da Social Democracia Brasileira PSDB","Governador eleito em sufrágio universal","2011-01-01","2015-01-01","PR","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Paraná","72634629"
"Beto Richa","1 de janeiro de 2015","6 de abril de 2018",NA,"Partido da Social Democracia Brasileira PSDB","Governador reeleito por sufrágio universal","2015-01-01","2018-04-06","PR","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Paraná","72634629"
"Cida Borghetti","6 de abril de 2018","1 de janeiro de 2019",NA,"Partido Progressista PP","Vice-governadora eleita por sufrágio universal, assumiu em face da renúncia do titular","2018-04-06","2019-01-01","PR","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Paraná","72634629"
"Ratinho Júnior","1 de janeiro de 2019","1 de janeiro de 2023",NA,"Partido Social Democrático PSD","Governador eleito por sufrágio universal","2019-01-01","2023-01-01","PR","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Paraná","72634629"
"Ratinho Júnior","1 de janeiro de 2023","até a atualidade",NA,"Partido Social Democrático PSD","Governador reeleito por sufrágio universal''","2023-01-01",NA,"PR","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Paraná","72634629"
"Guilherme Melo","2 de abril de 1994","1º de janeiro de 1995",NA,"Partido Progressista Reformador PPR","Vice-governador no cargo de titular","1994-04-02","1995-01-01","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Mão Santa","1º de janeiro de 1995","1º de janeiro de 1999",NA,"Partido do Movimento Democrático Brasileiro PMDB","Governador eleito em sufrágio universal","1995-01-01","1999-01-01","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Mão Santa","1º de janeiro de 1999","6 de novembro de 2001",NA,"Partido do Movimento Democrático Brasileiro PMDB","Governador reeleito em sufrágio universal","1999-01-01","2001-11-06","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Kléber Eulálio","9 de novembro de 2001","19 de novembro de 2001",NA,"Partido do Movimento Democrático Brasileiro PMDB","Presidente da Assembleia Legislativa no cargo de Governador de foma interina","2001-11-09","2001-11-19","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Hugo Napoleão","19 de novembro de 2001","1º de janeiro de 2003",NA,"Partido da Frente Liberal PFL","Segundo lugar nas eleições de 1998,assumiu após a cassação da chapa vencedora","2001-11-19","2003-01-01","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Wellington Dias","1º de janeiro de 2003","1º de janeiro de 2007",NA,"Partido dos Trabalhadores PT","Governador eleito em sufrágio universal","2003-01-01","2007-01-01","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Wellington Dias","1º de janeiro de 2007","1º de abril de 2010",NA,"Partido dos Trabalhadores PT","Governador reeleito em sufrágio universal","2007-01-01","2010-04-01","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Wilson Martins","1º de abril de 2010","1º de janeiro de 2011",NA,"Partido Socialista Brasileiro PSB","Vice-governador no cargo de titular","2010-04-01","2011-01-01","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Wilson Martins","1º de janeiro de 2011","4 de abril de 2014",NA,"Partido Socialista Brasileiro PSB","Governador reeleito em sufrágio universal","2011-01-01","2014-04-04","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Zé Filho","4 de abril de 2014","1º de janeiro de 2015",NA,"Partido do Movimento Democrático Brasileiro PMDB","Vice-governador no cargo de titular","2014-04-04","2015-01-01","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Wellington Dias","1º de janeiro de 2015","1º de janeiro de 2019",NA,"Partido dos TrabalhadoresPT","Governador eleito em sufrágio universal","2015-01-01","2019-01-01","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Wellington Dias","1º de janeiro de 2019","31 de março de 2022",NA,"Partido dos TrabalhadoresPT","Governador reeleito em sufrágio universal. Renunciou ao cargo para disputar vaga no Senado Federal","2019-01-01","2022-03-31","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Regina Sousa","31 de março de 2022","1º de janeiro de 2023",NA,"Partido dos TrabalhadoresPT","Vice-governadora eleita em sufrágio universal. Assumiu em face da renúncia do titular.","2022-03-31","2023-01-01","PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Rafael Fonteles","1º de janeiro de 2023","Até a atualidade",NA,"Partido dos TrabalhadoresPT","Governador eleito em sufrágio universal.","2023-01-01",NA,"PI","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Piauí","72864141"
"Nilo Batista","2 de abril de 1994","1 de janeiro de 1995","1990","Partido Democrático Trabalhista(PDT)",NA,"1994-04-02","1995-01-01","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Marcello Alencar","1 de janeiro de 1995","1 de janeiro de 1999","1994","Partido da Social Democracia Brasileira(PSDB)",NA,"1995-01-01","1999-01-01","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Anthony Garotinho","1 de janeiro de 1999","6 de abril de 2002
[nota 53]","1998","Partido Democrático Trabalhista(PDT)",NA,"1999-01-01","2002-04-06","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Anthony Garotinho","1 de janeiro de 1999","6 de abril de 2002
[nota 53]","1998","Partido Socialista Brasileiro(PSB)",NA,"1999-01-01","2002-04-06","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Benedita da Silva","6 de abril de 2002","1 de janeiro de 2003","1998","Partido dos Trabalhadores(PT)",NA,"2002-04-06","2003-01-01","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Rosinha Garotinho","1 de janeiro de 2003","1 de janeiro de 2007","2002","Partido Socialista Brasileiro(PSB)",NA,"2003-01-01","2007-01-01","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Rosinha Garotinho","1 de janeiro de 2003","1 de janeiro de 2007","2002","Partido do Movimento Democrático Brasileiro(PMDB)",NA,"2003-01-01","2007-01-01","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Sérgio Cabral Filho","1 de janeiro de 2007","3 de abril de 2014
[nota 54]","2006","Partido do Movimento Democrático Brasileiro(PMDB)",NA,"2007-01-01","2014-04-03","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Sérgio Cabral Filho","1 de janeiro de 2007","3 de abril de 2014
[nota 54]","2010","Partido do Movimento Democrático Brasileiro(PMDB)",NA,"2007-01-01","2014-04-03","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Luiz Fernando Pezão","4 de abril de 2014","1 de janeiro de 2019[nota 55][nota 56]","2010","Partido do Movimento Democrático Brasileiro(PMDB)",NA,"2014-04-04","2019-01-01","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Luiz Fernando Pezão","4 de abril de 2014","1 de janeiro de 2019[nota 55][nota 56]","2014","Partido do Movimento Democrático Brasileiro(PMDB)",NA,"2014-04-04","2019-01-01","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Wilson Witzel","1 de janeiro de 2019","30 de abril de 2021[nota 57]","2018","Partido Social Cristão(PSC)",NA,"2019-01-01","2021-04-30","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Cláudio Castro","1 de maio de 2021[nota 58]","23 de março de 2026
[nota 59][103]","2018","Partido Social Cristão(PSC)",NA,"2021-05-01","2026-03-23","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Cláudio Castro","1 de maio de 2021[nota 58]","23 de março de 2026
[nota 59][103]","2018","Partido Liberal(PL)",NA,"2021-05-01","2026-03-23","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Cláudio Castro","1 de maio de 2021[nota 58]","23 de março de 2026
[nota 59][103]","2022","Partido Liberal(PL)",NA,"2021-05-01","2026-03-23","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Cláudio Castro","1 de maio de 2021[nota 58]","23 de março de 2026
[nota 59][103]","2022","Partido Liberal(PL)",NA,"2021-05-01","2026-03-23","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Cláudio Castro","1 de maio de 2021[nota 58]","23 de março de 2026
[nota 59][103]","2022","Partido Liberal(PL)",NA,"2021-05-01","2026-03-23","RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Ricardo Couto","23 de março de 2026
[nota 62]","até a atualidade","—[nota 61]","Nenhum",NA,"2026-03-23",NA,"RJ","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_de_Janeiro","72864125"
"Vivaldo Costa","30 de março de 1994","31 de dezembro de 1994","Linha sucessória","PL","","1994-03-30","1994-12-31","RN","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_Grande_do_Norte","72863102"
"Garibaldi Alves Filho","1.º de janeiro de 1995","5 de abril de 2002","1994","PMDB","","1995-01-01","2002-04-05","RN","GOVERNADOR",NA,"titular","https://pt.wikipedia.org/wiki/Lista_de_governadores_do_Rio_Grande_do_Norte","72863102"
