"idx","amostra","na_amostra_40","id_mandato_bocel","id_municipio_ibge","data_diario","confianca","evento_inferido","evento_ancorado","metodo_pareamento","motivo_rebaixamento","nome","url_diario","trecho"
11,"30_alta",TRUE,"M2016_85413_13_12123_210000028684","4302105","2019-12-23","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"MOACIR ANTONIO CAMERINI","https://data.queridodiario.ok.org.br/4302105/2019-12-23/2a3a6d9ab9b29d5ce20fc3cb5f686f3b0d5d7ded.pdf","Gonçalves/RS segunda-feira, 23 de dezembro de 2019 MUNICIPIO DE BENTO GONÇALVES Câmara Municipal Decreto Legislativo Decreto Legislativo 99/2019 DECRETO LEGISLATIVO Nº 99 DECRETO LEGISLATIVO Nº 99, DE 20 DE DEZEMBRO DE 2019.    Fica decretada a <<cassação>> do Mandato do Vereador Moacir Antônio Camerini      O Vereador RAFAEL PASQUALOTTO, Presidente da Câmara Municipal de Bento Gonçalves, no uso das atribuições que lhe são conferidas pela Lei Orgânica do Município, pelo"
12,"30_alta",TRUE,"M2020_58530_13_65065_190000852517","3302700","2022-05-23","alta","licenca","licenca","nome_completo_no_trecho",NA,"MARCUS TOSELLI","https://data.queridodiario.ok.org.br/3302700/2022-05-23/059d024ffa9de2ef1a6396290f7a3ca0790fd58b.pdf","contrato cujo objeto é o 1º USO DA ATA 07/2022 – SERVIÇO DE LOCAÇÃO DE VEÍCULOS. Resolve: e diplomado pelo Tribunal Eleitoral do Estado do Rio de Janeiro, no Gabinete da Presidência, a fim de tomar posse em vaga decorren- te do pedido de <<licença do Vereador>> Marcus Toselli (Bambam), que ocupará a Secretaria do trabalho da Prefeitura Municipal de Maricá. O Suplente empossou-se nesta data, prestando compromisso e pos- se, atendendo ao que preceitua o art. 91 § 1º, da Lei Orgânica do Mu- nicípio,"
13,"30_alta",TRUE,"M2024_62294_13_11777_250002126618","3506508","2025-09-04","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"JOSÉ FERMINO GROSSO","https://data.queridodiario.ok.org.br/3506508/2025-09-04/62ca47ec290f7b98e2251d2edc65282ecb8fed80.pdf","REGINALDO FERNANDO PEREIRA, DD. Presidente da Câmara Municipal de B I R I G Ü I. Senhor Presidente: Os Vereadores do Bloco Parlamentar “DEMOCRACIA PARTICIPATIVA”, abaixo subscritos, tendo em vista a revogação do Ato nº 03/2025, que declarou a <<perda do mandato>> eletivo do vereador José Fermino Grosso, com base no HC 257.804/SP do C. Supremo Tribunal Federal; vem informar a Vossa Excelência a recondução do vereador JOSÉ FERMINO GROSSO ao bloco parlamentar. Sendo assim, ficam designados os"
14,"30_alta",TRUE,"M2016_35157_13_51123_50000014954","2910800","2019-02-05","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"EWERTON CARNEIRO DA COSTA","https://data.queridodiario.ok.org.br/2910800/2019-02-05/a50f20bcd442e138a1d9ebe98bcdcf803c81b149.pdf","seus artigos 131/132 e 142, resolve: CONVOCAR de imediato o Suplente de vereador SR. JOSAFÁ RAMOS DOS SANTOS para tomar posse no cargo de vereador pela coligação composta com os seguintes partidos: PTB/PRP/PV/PEN/PHS, em decorrência da <<renúncia do vereador>> Ewerton Carneiro da Costa, tendo em vista que o mesmo foi eleito para o cargo de Deputado Estadual. PUBLIQUE-SE, REGISTRE-SE E CUMPRA-SE. Gabinete da Presidência da Câmara Municipal de Feira de Santana, 01 de fevereiro"
15,"30_alta",TRUE,"M2008_75353_11_45_2708","4106902","2010-04-06","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"CARLOS ALBERTO RICHA","https://data.queridodiario.ok.org.br/4106902/2010-04-06/a19132872bbcba78e5a428154abe2db33fea3425.pdf","Março 2010. CEZAR AUGUSTO MURASKI-PREGOEIRO CÂMARA MUNICIPAL DE CURITIBA A T O D A M E S A N° 02/2010 A MESA DA CÂMARA MUNICIPAL DE CURITIBA, CAPITAL DO ESTADO DO PARANÁ, no uso de suas atribuições legais, R E S O L V E : que, em razão da <<renúncia>> do Senhor Prefeito Municipal de Curitiba, Carlos Alberto Richa, contida no Ofício nº 046/2010-EM e conforme o Art. 68 da Lei Orgânica Municipal, o Vice-Prefeito Luciano Ducci, assumirá o cargo de Prefeito Municipal de Curitiba a partir desta data"
16,"30_alta",TRUE,"M2016_61239_13_15678_250000060293","3501202","2019-08-20","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"JAIR ARCANJO DA SILVA","https://data.queridodiario.ok.org.br/3501202/2019-08-20/b161118f1ad6c0816fa0bb06a772c41bf66966b4.pdf","1°- Fica decretada a <<cassação>> do mandato do vereador JAIR ARCANJO DA SILVA – MDB- pela quebra de decoro parlamentar na sua conduta pública, conforme preconiza o artigo 7°, inciso III do Decreto Lei – Federal n° 201/1967, bem como artigos 45 e 46 da Lei Orgânica deste Município, artigo 78, inciso II do Regimento Interno desta Casa de Leis e artigo 38, inciso III da Constituição Federal. Artigo 2°- Comunique-se a Justiça Eleitoral o resultado do processo de <<cassação>> tramitado nesta Casa de"
17,"30_alta",TRUE,"M2008_92410_11_25_6371","1702109","2012-05-08","alta","afastamento","afastamento","nome_completo_no_trecho",NA,"FELIX VALUAR DE SOUSA BARROS","https://data.queridodiario.ok.org.br/1702109/2012-05-08/05d62a5db7f6c677ec65fb14b978b06d0c07ce26.pdf","CONSIDERANDO, a Liminar Concedida pelo Exmo. Sr. Juiz de Direito Álvaro Nascimento Cunha, na Ação Civil Pública n.º 2012.0003.6050-8/0 em que o Ministério Público promoveu em face de Félix Valuar de Sousa Barros e Outros, onde determinou o <<afastamento do Prefeito>> Félix Valuar de Sousa Barros e a posse imediata do Vice-Prefeito o Sr. AMILTON ALVES CARDOSO; CONSIDERANDO, a imperiosa necessidade de adequar o primeiro escalão da atual administração, bem como a necessidade de dar uma resposta a população"
18,"30_alta",TRUE,"M2020_58130_11_12_190001150041","3300704","2023-07-17","alta","falecimento","falecimento","nome_completo_no_trecho",NA,"JOSÉ BONIFÁCIO FERREIRA NOVELLINO","https://data.queridodiario.ok.org.br/3300704/2023-07-17/1a7c6c7cc97f9169ce5c26006f39e5a459c68459.pdf","DE JULHO DE 2023 | EDIÇÃO 734 | CADERNO I DECRETO Nº 7.123, DE 17 DE JULHO DE 2023. Declara luto oficial pelo <<falecimento do Prefeito>> do Município José Bonifácio Ferreira Novellino. A PREFEITA EM EXERCÍCIO DO MUNICÍPIO DE CABO FRIO, no uso das atribuições que lhe confere o art. 62 c/c o art. 147 da Lei Orgânica Municipal, CONSIDERANDO o <<falecimento do Prefeito>> José Bonifácio Ferreira Novellino, ocorrido nesta data; CONSIDERANDO que “Zezinho”, como era conhecido na Cidade"
19,"30_alta",TRUE,"M2016_35157_13_51123_50000014954","2910800","2019-02-02","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"EWERTON CARNEIRO DA COSTA","https://data.queridodiario.ok.org.br/2910800/2019-02-02/d878699c8a6bce268e6606649df67a1e0b917acb.pdf","Interno nos seus artigos 131/132 e 142, resolve: CONVOCAR de imediato o Suplente de vereador SR. JOSAFÁ RAMOS DOS SANTOS para tomar posse no cargo de vereador pela coligação composta com os seguintes partidos: PTB/PRP/PV/PEN/PHS, em decorrência da <<renúncia>> do vereador Ewerton Carneiro da Costa, tendo em vista que o mesmo foi eleito para o cargo de Deputado Estadual. PUBLIQUE-SE, REGISTRE-SE E CUMPRA-SE. Gabinete da Presidência da Câmara Municipal de Feira de Santana, 01 de"
20,"30_alta",TRUE,"M2016_35157_13_51123_50000014954","2910800","2019-02-05","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"EWERTON CARNEIRO DA COSTA","https://data.queridodiario.ok.org.br/2910800/2019-02-05/a50f20bcd442e138a1d9ebe98bcdcf803c81b149.pdf"," O Presidente da Câmara Municipal de Feira de Santana, Estado da Bahia, no uso de suas atribuições regimentais atendendo o que dispõe o Regimento Interno nos seus artigos 131/132 e 142, resolve: CONVOCAR de imediato o <<Suplente de vereador>> SR. JOSAFÁ RAMOS DOS SANTOS para tomar posse no cargo de vereador pela coligação composta com os seguintes partidos: PTB/PRP/PV/PEN/PHS, em decorrência da renúncia do vereador Ewerton Carneiro da Costa, tendo em vista que o mesmo foi eleito"
