legislatura,nome,forma_saida,data_fim_exercicio,causa_original,url
11,Waguinho,outro,,"Exerceram o mandato (ALERJ, Deputados/QuemSao, 11a Legislatura, situacaoDeputado=2) | no lugar de Waguinho, novo prefeito de Belford Roxo. - Dica (PTN)** assume no lugar de Bernardo Rossi, novo prefeito de Petrópolis. - Marco Antônio Figueiredo (PROS) assume o mandato de deput",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=18&situacaoDeputado=2 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/11aLegislatura.pdf ; https://www.alerj.rj.gov.br/Visualizar/Noticia/39720
11,Waldeck Carneiro,fim_regular,2019-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 11a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=18&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/11aLegislatura.pdf
11,Wanderson Nogueira,fim_regular,2019-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 11a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=18&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/11aLegislatura.pdf
11,Zaqueu Teixeira,fim_regular,2019-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 11a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=18&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/11aLegislatura.pdf
11,Zeidan,fim_regular,2019-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 11a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=18&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/11aLegislatura.pdf
11,Zito,fim_regular,2019-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 11a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=18&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/11aLegislatura.pdf
11,Zé Luiz Anchite,outro,,"Exerceram o mandato (ALERJ, Deputados/QuemSao, 11a Legislatura, situacaoDeputado=2)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=18&situacaoDeputado=2 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/11aLegislatura.pdf
11,Átila Nunes,fim_regular,2019-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 11a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=18&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/11aLegislatura.pdf
12,Alana Passos,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Alexandre Freitas,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Alexandre Knoploch,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Anderson Alexandre,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Anderson Moraes,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
