legislatura,nome,condicao,ev_chave,ev_forte,ev_data,ev_origem,ultima_exerc,ult_licenciado,chegou_ao_fim_exerc,ev_contradito,forma_saida,aplicado,motivo
18,SÍLVIO COSTA FILHO,titular,licenca,FALSE,2017-12-07,do,2019-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
18,TERESA LEITÃO,titular,licenca,FALSE,2018-06-12,do,2019-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
18,ZÉ MAURÍCIO,titular,licenca,FALSE,2017-12-15,do,2019-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
18,ALBERTO FEITOSA,titular,afastamento,FALSE,2015-02-11,noticia,2019-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
18,NILTON MOTA,titular,licenca,FALSE,2018-06-12,do,2018-12-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
18,CLODOALDO MAGALHÃES,titular,licenca,FALSE,2017-08-15,do,2019-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
18,VINÍCIUS LABANCA,titular,licenca,FALSE,2017-12-19,do,2019-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
18,GUSTAVO NEGROMONTE,suplente,licenca,FALSE,2018-04-04,do,2019-01-27,FALSE,TRUE,TRUE,suplente_efetivado,FALSE,serie mostra exercicio depois da data do ato
18,ROBERTA ARRAES,suplente,licenca,FALSE,2017-06-27,do,2019-01-27,FALSE,TRUE,TRUE,suplente_efetivado,FALSE,serie mostra exercicio depois da data do ato
18,TEREZINHA NUNES,suplente,licenca,FALSE,2018-01-18,do,2019-01-27,FALSE,TRUE,TRUE,suplente_efetivado,FALSE,serie mostra exercicio depois da data do ato
19,ADALTO SANTOS,titular,licenca,FALSE,2019-06-26,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,AGLAILSON VICTOR,titular,licenca,FALSE,2020-05-26,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,CORONEL ALBERTO FEITOSA,titular,licenca,FALSE,2019-05-28,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,ALESSANDRA VIEIRA,titular,licenca,FALSE,2020-03-10,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,ANTONIO COELHO,titular,licenca,FALSE,2019-07-12,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,CLODOALDO MAGALHÃES,titular,licenca,FALSE,2019-12-20,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,FABÍOLA CABRAL,titular,licenca,FALSE,2019-11-19,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,GUILHERME UCHOA,titular,licenca,FALSE,2019-09-24,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,GUSTAVO GOUVEIA,titular,licenca,FALSE,2021-06-18,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,JOÃO PAULO,titular,licenca,FALSE,2019-08-13,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,JOEL DA HARPA,titular,licenca,FALSE,2019-08-02,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,LUCAS RAMOS,titular,afastamento,FALSE,2020-08-14,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,MARCO AURELIO MEU AMIGO,titular,licenca,FALSE,2021-11-18,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,PROFESSOR PAULO DUTRA,suplente,licenca,FALSE,2019-10-01,do,2022-03-31,FALSE,FALSE,TRUE,suplente_efetivado,FALSE,serie mostra exercicio depois da data do ato
