"id_mandato_bocel","uf","ano_eleicao","nome","nome_completo","metodo_pareamento","nome_bocel","urna_bocel"
"M2006_SC_7_15270_10046","SC",2006,"Romildo Titon","Romildo Titon","tokens_nome_completo_no_civil","ROMILDO LUIZ TITON","TITON"
"M2010_SC_7_14104_240000000362","SC",2010,"Narcizo Parisotto","Narcizo Parisotto","tokens_nome_completo_no_civil","NARCIZO LUIZ PARISOTTO","PARISOTTO"
"M2010_SC_7_15200_240000000331","SC",2010,"Valdir Cobalchini","Valdir Cobalchini","tokens_nome_completo_no_civil","VALDIR VITAL COBALCHINI","COBALCHINI"
"M2014_SC_7_15015_240000000270","SC",2014,"Ada de Luca","Ada de Luca","tokens_nome_completo_no_civil","ADA LILI FARACO DE LUCA","ADA FARACO DE LUCA"
"M2014_SC_7_15270_240000000307","SC",2014,"Romildo Titon","Romildo Titon","tokens_nome_completo_no_civil","ROMILDO LUIZ TITON","TITON"
"M2014_SC_7_65123_240000000332","SC",2014,"César Valduga","César Valduga","tokens_nome_completo_no_civil","CESAR ANTONIO VALDUGA","VALDUGA"
"M2018_SC_7_15015_240000609562","SC",2018,"Ada De Luca","Ada De Luca","tokens_nome_completo_no_civil","ADA LILI FARACO DE LUCA","ADA FARACO DE LUCA"
"M2018_SC_7_15200_240000609581","SC",2018,"Valdir Cobalchini","Valdir Cobalchini","tokens_nome_completo_no_civil","VALDIR VITAL COBALCHINI","COBALCHINI"
"M2018_SC_7_17771_240000609673","SC",2018,"Ana Caroline Campagnolo","Ana Caroline Campagnolo","tokens_nome_completo_no_civil","ANA CAROLINE CAMPAGNOLO GALVAO","ANA CAMPAGNOLO"
"M2022_SC_7_14181_240001614282","SC",2022,"Egidio Ferrari","Egidio Ferrari","tokens_nome_completo_no_civil","EGIDIO MACIEL FERRARI","DELEGADO EGIDIO"
"M2022_SC_7_50150_240001610066","SC",2022,"Marquito","Marcos José Abreu","tokens_nome_completo_no_civil","MARCOS JOSÉ DE ABREU","MARQUITO MARCOS JOSÉ ABREU"
"M1998_SE_7_12111_260002607121111","SE",1998,"Garibalde Mendonça","Garibalde Mendonça","tokens_nome_completo_no_civil","LUIZ GARIBALDE RABELO DE MENDONÇA","GARIBALDE"
"M1998_SE_7_14111_260002607141111","SE",1998,"Angélica Guimarães","Angélica Guimarães","tokens_nome_completo_no_civil","MARIA ANGELICA GUIMARAES MARINHO","DRA ANGELICA"
"M1998_SE_7_40111_260002607401111","SE",1998,"Belivaldo Chagas","Belivaldo Chagas","tokens_nome_completo_no_civil","BELIVALDO CHAGAS SILVA","BELIVALDO"
"M1998_SE_7_45114_260002607451141","SE",1998,"José Rivaldo","José Rivaldo","tokens_nome_completo_no_civil","JOSÉ RIVALDO SANTOS","JOSÉ RIVALDO SANTOS"
"M1998_SE_7_45119_260002607451191","SE",1998,"Raimundo Vieira","Raimundo Vieira","tokens_nome_completo_no_civil","RAIMUNDO LIMA VIEIRA","MUNDINHO DA COMASE"
"M2002_SE_7_25123_316","SE",2002,"Valmir Monteiro","Valmir Monteiro","tokens_nome_completo_no_civil","JOSE VALMIR MONTEIRO","JOSE VALMIR MONTEIRO"
"M2002_SE_7_33333_151","SE",2002,"José Milton","José Milton","tokens_nome_completo_no_civil","JOSE MILTON ALVES DOS SANTOS","ZE MILTO DE ZE DE DONA"
"M2006_SE_7_13192_10051","SE",2006,"Rogério Carvalho","Rogério Carvalho","tokens_nome_completo_no_civil","ROGERIO CARVALHO SANTOS","ROGERIO CARVALHO SANTOS"
"M2006_SE_7_15000_10073","SE",2006,"Garibalde Mendonça","Garibalde Mendonça","tokens_nome_completo_no_civil","LUIZ GARIBALDE RABELO DE MENDONÇA","GARIBALDE"
"M2010_SE_7_15000_260000000212","SE",2010,"Garibalde Mendonça","Garibalde Mendonça","tokens_nome_completo_no_civil","LUIZ GARIBALDE RABELO DE MENDONÇA","GARIBALDE"
"M2010_SE_7_17000_260000000193","SE",2010,"Raimundo Vieira","Raimundo Vieira","tokens_nome_completo_no_civil","RAIMUNDO LIMA VIEIRA","MUNDINHO DA COMASE"
"M2014_SE_7_15000_260000000239","SE",2014,"Garibalde Mendonça","Garibalde Mendonça","tokens_nome_completo_no_civil","LUIZ GARIBALDE RABELO DE MENDONÇA","GARIBALDE"
"M2014_SE_7_36111_260000000144","SE",2014,"Vanderbal Marinho","Vanderbal Marinho","tokens_nome_completo_no_civil","VANDERBAL MARINHO MENEZES DE ANDRADE","DR. VANDERBAL"
"M2022_SE_7_10000_260001618235","SE",2022,"Lidiane Lucena","Lidiane Lucena","tokens_nome_completo_no_civil","LIDIANE CECILIA AZEVEDO CARVALHO LUCENA","DRA LIDIANE LUCENA"
"M2022_SE_7_12111_260001669431","SE",2022,"Garibalde Mendonça","Garibalde Mendonça","tokens_nome_completo_no_civil","LUIZ GARIBALDE RABELO DE MENDONÇA","GARIBALDE"
"M2022_SE_7_43777_260001668327","SE",2022,"Paulo Júnior","Paulo Júnior","tokens_nome_completo_no_civil","PAULO ROBERTO DE SANTANA JUNIOR","PAULO JR"
