uf,sg_ue,ano_eleicao_bocel,sistema,nome_fonte,nome_parlamentar,nome_bocel,metodo_pareamento,forma_saida,tipo_afastamento,id_mandato_bocel,url
SC,80659,2008,legisoft,IVO TADEU ANTUNES DE OLIVEIRA,IVO TADEU ANTUNES DE OLIVEIRA,IVO TADEU ANTUNES DE OLIVEIRA,nome_completo,nao_observado,,M2008_80659_13_25555_6604,https://camaracampobelodosul.sc.gov.br/vereador/ivo-tadeu-antunes-de-oliveira-43
AL,27090,2024,wordpress_cpt_generico,FLÁVIO MUSKYTO,FLÁVIO MUSKYTO,JOSÉ FLÁVIO DA SILVA SOUZA,nome_fonte=nome_urna,nao_observado,,M2024_27090_13_15555_20002148684,https://barradesantoantonio.al.leg.br/mesa-diretora/
SP,64270,2000,generico_secoes,OSMAR APARECIDO DOMINGOS,OSMAR APARECIDO DOMINGOS,OSMAR APARECIDO DOMINGOS,nome_completo,nao_observado,,M2000_64270_13_15610_219,https://www.camarafranciscomorato.sp.gov.br/vereadores/legislaturas
SP,66311,2008,webline,FLAUTILDES PEREIRA DUDU FILHO,DUDU,FLAUTILDES PEREIRA DUDU FILHO,nome_completo,fim_regular,,M2008_66311_13_25789_42080,https://camaralavinia.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=6&idleg=1
SP,69035,2016,webline,Eunice Pereira Alves,Nice do Posto,EUNICE PEREIRA ALVES,nome_completo,fim_regular,,M2016_69035_13_14123_250000080631,https://camarapongai.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=13&idleg=3
RS,89753,2016,wordpress_cpt_generico_secoes,Sandro Drum,Sandro Drum,SANDRO DRUM,nome_completo,nao_observado,,M2016_89753_13_15680_210000018005,https://www.camarasaltodojacui.rs.gov.br/camara/ex-vereadores/
RS,87980,2008,icamaras,VILSON NEITOR CORNELIUS,VILSON NEITOR CORNELIUS,VILSON NEITOR CORNELIUS,nome_completo,nao_observado,,M2008_87980_13_12666_7996,https://travesseiro.rs.leg.br/vereador/1032/?vilson-neitor-cornelius.html
SP,66753,2024,webline,Isaac Beck Júnior,Isaac Beck Júnior,ISAAC BECK JUNIOR,nome_completo,nao_observado,,M2024_66753_13_20190_250002255402,https://camaramarabapaulista.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=31&idleg=5
MG,49794,2024,generico,Antônio Marcos Rodrigues,Antônio Marcos Rodrigues,ANTÔNIO MARCOS RODRIGUES,nome_completo,nao_observado,,M2024_49794_13_25610_130002372953,https://cmpedradourada.mg.gov.br/antonio-marcos
PR,78654,2000,generico_secoes,Jurandi Teixeira Machado,Jurandi Teixeira Machado,JURANDI TEIXEIRA MACHADO,nome_completo,nao_observado,,M2000_78654_13_45777_466,https://www.cmsantoinacio.pr.gov.br//index.php?sessao=b054603368v1b0&id=20123
MG,43699,2024,generico_secoes,Joao Paulo Andrade Gutierrez,Joao Paulo Andrade Gutierrez,JOÃO PAULO ANDRADE GUTIERREZ,nome_completo,nao_observado,,M2024_43699_13_25222_130002350971,https://www.camaraconsolacao.mg.gov.br/vereadores/legislaturas
SP,61530,2004,generico_secoes,Antônio Araújo Rodrigues,Antônio Araújo Rodrigues,ANTONIO ARAUJO RODRIGUES,nome_completo,nao_observado,,M2004_61530_13_15369_293,https://www.apiai.sp.leg.br/galeria-de-vereadores
PR,79197,2020,webline,Cristiano Gomes Francisco,Cristiano,CRISTIANO GOMES FRANCISCO,nome_completo,fim_regular,,M2020_79197_13_70123_160000964724,https://camaraterrarica.pr.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=36&idleg=7
