legislatura,ano_eleicao,eleitos_bocel,pareados,com_exercicio,taxa_pareamento
51,1998,513,512,0,0.9981
52,2002,513,511,511,0.9961
53,2006,513,513,513,1
54,2010,513,513,513,1
55,2014,513,513,513,1
56,2018,513,511,511,0.9961
57,2022,513,513,513,1
