id_mandato,data_evento,tipo_evento,dist
"M2020_13439_13_10888_60000793779","2023-12-07","interregno_temporario",7
"M2020_13439_13_22999_60000652418","2023-05-04","interregno_temporario",119
"M2020_13439_13_55699_60000652596","2023-01-26","interregno_temporario",0
"M2020_13501_13_15888_60000851860","2023-08-01","interregno_temporario",1
"M2020_13501_13_22123_60000851969","2023-11-10","interregno_temporario",0
"M2020_13501_13_22345_60000851961","2023-08-01","interregno_temporario",1
"M2020_13692_13_23123_60000674113","2023-05-16","interregno_temporario",7
"M2020_14230_13_55333_60000666436","2022-08-05","interregno_temporario",11
"M2020_15857_13_45678_60000660165","2022-04-13","interregno_temporario",196
"M2020_15873_13_13444_60000919093","2022-01-17","interregno_temporario",38
"M2020_15873_13_15999_60000989156","2024-02-06","interregno_temporario",4
"M2020_15873_13_40333_60000919712","2022-04-07","interregno_temporario",1
"M2020_16454_13_11123_200000856629","2023-03-10","interregno_temporario",1
"M2020_16454_13_11777_200000856620","2023-03-10","interregno_temporario",1
"M2020_35734_13_19123_50001195560","2022-04-02","interregno_temporario",480
"M2020_36293_13_20000_50000706605","2022-07-15","interregno_temporario",16
"M2020_42714_13_25123_130001058653","2022-09-12","interregno_temporario",7
"M2020_43591_13_45600_130001098337","2022-01-03","interregno_temporario",17
"M2020_48658_13_19123_130001171461","2023-02-27","interregno_temporario",4
"M2020_48658_13_55200_130000741060","2021-06-08","interregno_temporario",7
"M2020_54070_13_45000_130001179448","2022-03-31","fim_de_mandato",91
"M2020_58041_13_11111_190000747530","2021-04-30","interregno_temporario",52
"M2020_58041_13_13123_190000852700","2021-09-03","interregno_temporario",192
"M2020_58041_13_15015_190000852971","2021-02-04","interregno_temporario",16
"M2020_58041_13_15123_190000852990","2021-02-04","interregno_temporario",16
"M2020_58041_13_15234_190000852993","2021-04-30","interregno_temporario",1202
"M2020_58041_13_15662_190000852972","2021-02-04","interregno_temporario",16
"M2020_58041_13_77123_190000853623","2023-03-17","interregno_temporario",390
"M2020_58270_13_55111_190001107261","2023-04-01","interregno_temporario",2
"M2020_58270_13_55227_190001107270","2021-05-14","interregno_temporario",6
"M2020_58408_13_10010_190000687741","2024-02-06","interregno_temporario",0
"M2020_58475_13_12000_190000778833","2023-03-31","interregno_temporario",3
"M2020_61697_13_22345_250001077032","2023-10-06","interregno_temporario",3
"M2020_62111_13_51651_250000809386","2023-03-23","interregno_temporario",24
"M2020_62294_13_51000_250000943952","2022-10-03","interregno_temporario",1
"M2020_62634_13_19000_250000893901","2023-05-02","fim_de_mandato",199
"M2020_62634_13_55155_250000810267","2023-05-02","fim_de_mandato",175
"M2020_65579_13_10888_250001178244","2024-04-27","fim_de_mandato",1
"M2020_71315_13_40000_250000770837","2023-10-01","interregno_temporario",26
"M2020_74934_13_20800_160001184490","2023-03-08","interregno_temporario",1
"M2020_75469_13_20444_160000744741","2023-03-08","interregno_temporario",2
"M2020_75523_13_15211_160000654796","2023-06-14","interregno_temporario",1
"M2020_75523_13_90999_160000884077","2023-08-14","interregno_temporario",6
"M2020_76236_13_15015_160001007647","2021-12-26","fim_de_mandato",722
"M2020_76830_13_11500_160000872497","2024-10-17","interregno_temporario",192
"M2020_76830_13_22666_160001182328","2024-03-13","interregno_temporario",5
"M2020_76830_13_25000_160001189320","2021-01-01","interregno_temporario",0
"M2020_76830_13_25123_160001189335","2021-01-01","interregno_temporario",822
"M2020_77518_13_19333_160001140028","2023-02-23","fim_de_mandato",22
"M2020_78271_13_11234_160000836484","2022-08-01","interregno_temporario",27
"M2020_79278_13_11011_160001212009","2022-08-11","interregno_temporario",21
"M2020_79278_13_11640_160001211989","2022-08-09","interregno_temporario",29
"M2020_79278_13_11699_160001211985","2022-11-01","interregno_temporario",258
"M2020_79278_13_22066_160001213342","2022-09-26","interregno_temporario",7
"M2020_80926_13_22022_240000806565","2024-03-04","interregno_temporario",0
"M2020_86258_13_11190_210000765110","2022-05-06","interregno_temporario",4
"M2020_89516_13_11327_210000656489","2022-10-03","interregno_temporario",57
"M2020_89516_13_11999_210000656487","2021-06-10","interregno_temporario",2
"M2020_90506_13_90777_110000725930","2022-04-19","interregno_temporario",601
"M2020_90689_13_25000_110001103603","2023-12-13","interregno_temporario",15
"M2020_91413_13_20234_120000681569","2022-02-15","interregno_temporario",0
"M2020_92215_13_11456_90000742250","2021-09-10","interregno_temporario",12
"M2020_93610_13_13190_90001169248","2022-06-01","interregno_temporario",20
"M2020_93610_13_19555_90000794147","2022-07-07","interregno_temporario",9
"M2020_93610_13_19789_90000794142","2024-05-10","interregno_temporario",17
"M2020_95451_13_19333_90000825968","2024-09-03","fim_de_mandato",70
"M2020_98191_13_17017_110000766646","2022-08-01","interregno_temporario",14
"M2024_02534_13_15555_40002129647","2026-02-02","interregno_temporario",55
"M2024_03018_13_12345_230002186579","2026-01-16","interregno_temporario",24
"M2024_03018_13_20180_230001984854","2025-10-15","fim_de_mandato",6
"M2024_04111_13_11163_140001955278","2025-07-25","interregno_temporario",31
"M2024_05355_13_15789_140002111793","2026-04-01","interregno_temporario",1
"M2024_10537_13_13555_180002360651","2025-07-08","interregno_temporario",26
"M2024_13188_13_10789_60001995710","2025-05-14","interregno_temporario",1
"M2024_13188_13_13555_60001986852","2025-08-06","interregno_temporario",1
"M2024_13188_13_15555_60002005071","2025-05-01","afastamento_sem_retorno_observado",2
"M2024_13188_13_55999_60002005162","2025-08-01","interregno_temporario",45
"M2024_13196_13_25666_60001960030","2026-03-02","interregno_temporario",7
"M2024_13439_13_43123_60002043094","2026-03-18","interregno_temporario",0
"M2024_13692_13_22111_60002188534","2025-09-01","interregno_temporario",6
"M2024_21997_13_10444_150001987086","2025-08-01","interregno_temporario",4
"M2024_44458_13_43500_130001954972","2025-02-03","interregno_temporario",228
"M2024_54135_13_43700_130002263530","2026-02-19","interregno_temporario",59
"M2024_58270_13_55000_190002127609","2025-04-30","interregno_temporario",0
"M2024_58394_13_11123_190002012056","2025-01-02","interregno_temporario",1
"M2024_58394_13_12000_190002076223","2025-01-02","interregno_temporario",1
"M2024_58394_13_55789_190002073165","2025-03-13","interregno_temporario",14
"M2024_58394_13_77123_190001900904","2025-01-02","interregno_temporario",1
"M2024_63738_13_40123_250002136577","2026-05-08","interregno_temporario",16
"M2024_66931_13_44444_250002284741","2026-05-22","fim_de_mandato",4
"M2024_71218_13_20000_250001905988","2025-01-27","interregno_temporario",66
"M2024_73385_13_11333_270002127361","2026-01-05","fim_de_mandato",30
"M2024_73385_13_12123_270002288144","2026-01-05","interregno_temporario",49
"M2024_76830_13_10123_160002069138","2025-10-17","interregno_temporario",3
"M2024_76830_13_20000_160002068138","2025-11-04","afastamento_sem_retorno_observado",92
"M2024_76830_13_44777_160002280412","2025-01-09","afastamento_sem_retorno_observado",8
"M2024_88145_13_11111_210001898422","2025-01-07","interregno_temporario",1
"M2024_90352_13_25678_110002114314","2025-09-01","interregno_temporario",7
"M2024_90476_13_10678_110002098147","2025-08-08","interregno_temporario",4
"M2024_90689_13_11012_110002340441","2025-02-07","interregno_temporario",1
"M2024_90689_13_22777_110002250661","2025-04-07","interregno_temporario",7
"M2024_90689_13_44567_110002338281","2025-06-01","interregno_temporario",1
"M2024_91952_13_22222_110002147436","2025-04-17","interregno_temporario",7
"M2024_93610_13_15000_90002073831","2025-04-30","interregno_temporario",20
