"tabela","uf","ano_eleicao","id_mandato","nome_fonte","evento","data_evento","precisao_data","data_evento_ate","cargo_assumido","substituto_nome","url","trecho","tipo_fonte","arquivo_bruto","confianca","observacao","arquivo_frente","motivo","trecho_no_bruto","data_referencia","situacao"
"composicao","MT","2006",NA,"Wilson Teixeira - Dentinho",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/173998","Compareceram à Sessão os seguintes Srs. Deputados: da Bancada do Partido da República - J. Barreto, João Malheiros, Mauro Savi, Sebastião Rezende, Sérgio Ricardo e Wagner Ramos; da Bancada do Partido Progressista - Airton Português e Wilson Teixeira - Dentinho; da Bancada do Partido do Movimento Democrático Brasileiro - Benedito Pinto e Nilson Santos; da Bancada do Partido dos Trabalhadores - Ademir Brunetto e Ságuas; da Bancada do Partido Popular Socialista - Pedro Satélite; da Bancada do Partido Socialista Brasileiro - Professora Vilma; da ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO ATA DA CENTÉSIMA DÉCIMA QUARTA SESSÃO ORDINÁRIA DO DIA 16 DE DEZEMBRO DE 2010, ÀS 08:00 HORAS. Pág. 113 - Secretaria de Serviços Legislativos Bancada do Partido da Social Democracia Brasileira - Guilherme Maluf; da Bancada dos Democratas - Dilceu Dal Bosco, Chica Nunes, José Domingos Fraga e Joaquim Sucena. Deixaram de comparecer os Srs. Deputados: Dr. Antônio Azambuja e Maksuês Leite, do PP; Adalto de Freitas - Daltinho, do PMDB; Percival Muniz, do PPS; Otaviano Pivetta, do PDT.","portal_casa","brutos/almt/documentos/doc_173998.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2010-12-16","em_exercicio"
"composicao","MT","2006",NA,"Benedito Pinto",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/173998","Compareceram à Sessão os seguintes Srs. Deputados: da Bancada do Partido da República - J. Barreto, João Malheiros, Mauro Savi, Sebastião Rezende, Sérgio Ricardo e Wagner Ramos; da Bancada do Partido Progressista - Airton Português e Wilson Teixeira - Dentinho; da Bancada do Partido do Movimento Democrático Brasileiro - Benedito Pinto e Nilson Santos; da Bancada do Partido dos Trabalhadores - Ademir Brunetto e Ságuas; da Bancada do Partido Popular Socialista - Pedro Satélite; da Bancada do Partido Socialista Brasileiro - Professora Vilma; da ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO ATA DA CENTÉSIMA DÉCIMA QUARTA SESSÃO ORDINÁRIA DO DIA 16 DE DEZEMBRO DE 2010, ÀS 08:00 HORAS. Pág. 113 - Secretaria de Serviços Legislativos Bancada do Partido da Social Democracia Brasileira - Guilherme Maluf; da Bancada dos Democratas - Dilceu Dal Bosco, Chica Nunes, José Domingos Fraga e Joaquim Sucena. Deixaram de comparecer os Srs. Deputados: Dr. Antônio Azambuja e Maksuês Leite, do PP; Adalto de Freitas - Daltinho, do PMDB; Percival Muniz, do PPS; Otaviano Pivetta, do PDT.","portal_casa","brutos/almt/documentos/doc_173998.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2010-12-16","em_exercicio"
"composicao","MT","2006",NA,"Nilson Santos",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/173998","Compareceram à Sessão os seguintes Srs. Deputados: da Bancada do Partido da República - J. Barreto, João Malheiros, Mauro Savi, Sebastião Rezende, Sérgio Ricardo e Wagner Ramos; da Bancada do Partido Progressista - Airton Português e Wilson Teixeira - Dentinho; da Bancada do Partido do Movimento Democrático Brasileiro - Benedito Pinto e Nilson Santos; da Bancada do Partido dos Trabalhadores - Ademir Brunetto e Ságuas; da Bancada do Partido Popular Socialista - Pedro Satélite; da Bancada do Partido Socialista Brasileiro - Professora Vilma; da ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO ATA DA CENTÉSIMA DÉCIMA QUARTA SESSÃO ORDINÁRIA DO DIA 16 DE DEZEMBRO DE 2010, ÀS 08:00 HORAS. Pág. 113 - Secretaria de Serviços Legislativos Bancada do Partido da Social Democracia Brasileira - Guilherme Maluf; da Bancada dos Democratas - Dilceu Dal Bosco, Chica Nunes, José Domingos Fraga e Joaquim Sucena. Deixaram de comparecer os Srs. Deputados: Dr. Antônio Azambuja e Maksuês Leite, do PP; Adalto de Freitas - Daltinho, do PMDB; Percival Muniz, do PPS; Otaviano Pivetta, do PDT.","portal_casa","brutos/almt/documentos/doc_173998.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2010-12-16","em_exercicio"
"composicao","MT","2006",NA,"Pedro Satélite",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/173998","Compareceram à Sessão os seguintes Srs. Deputados: da Bancada do Partido da República - J. Barreto, João Malheiros, Mauro Savi, Sebastião Rezende, Sérgio Ricardo e Wagner Ramos; da Bancada do Partido Progressista - Airton Português e Wilson Teixeira - Dentinho; da Bancada do Partido do Movimento Democrático Brasileiro - Benedito Pinto e Nilson Santos; da Bancada do Partido dos Trabalhadores - Ademir Brunetto e Ságuas; da Bancada do Partido Popular Socialista - Pedro Satélite; da Bancada do Partido Socialista Brasileiro - Professora Vilma; da ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO ATA DA CENTÉSIMA DÉCIMA QUARTA SESSÃO ORDINÁRIA DO DIA 16 DE DEZEMBRO DE 2010, ÀS 08:00 HORAS. Pág. 113 - Secretaria de Serviços Legislativos Bancada do Partido da Social Democracia Brasileira - Guilherme Maluf; da Bancada dos Democratas - Dilceu Dal Bosco, Chica Nunes, José Domingos Fraga e Joaquim Sucena. Deixaram de comparecer os Srs. Deputados: Dr. Antônio Azambuja e Maksuês Leite, do PP; Adalto de Freitas - Daltinho, do PMDB; Percival Muniz, do PPS; Otaviano Pivetta, do PDT.","portal_casa","brutos/almt/documentos/doc_173998.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2010-12-16","em_exercicio"
"composicao","MT","2006",NA,"Professora Vilma",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/173998","Compareceram à Sessão os seguintes Srs. Deputados: da Bancada do Partido da República - J. Barreto, João Malheiros, Mauro Savi, Sebastião Rezende, Sérgio Ricardo e Wagner Ramos; da Bancada do Partido Progressista - Airton Português e Wilson Teixeira - Dentinho; da Bancada do Partido do Movimento Democrático Brasileiro - Benedito Pinto e Nilson Santos; da Bancada do Partido dos Trabalhadores - Ademir Brunetto e Ságuas; da Bancada do Partido Popular Socialista - Pedro Satélite; da Bancada do Partido Socialista Brasileiro - Professora Vilma; da ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO ATA DA CENTÉSIMA DÉCIMA QUARTA SESSÃO ORDINÁRIA DO DIA 16 DE DEZEMBRO DE 2010, ÀS 08:00 HORAS. Pág. 113 - Secretaria de Serviços Legislativos Bancada do Partido da Social Democracia Brasileira - Guilherme Maluf; da Bancada dos Democratas - Dilceu Dal Bosco, Chica Nunes, José Domingos Fraga e Joaquim Sucena. Deixaram de comparecer os Srs. Deputados: Dr. Antônio Azambuja e Maksuês Leite, do PP; Adalto de Freitas - Daltinho, do PMDB; Percival Muniz, do PPS; Otaviano Pivetta, do PDT.","portal_casa","brutos/almt/documentos/doc_173998.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2010-12-16","em_exercicio"
"composicao","MT","2006",NA,"Joaquim Sucena",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/173998","Compareceram à Sessão os seguintes Srs. Deputados: da Bancada do Partido da República - J. Barreto, João Malheiros, Mauro Savi, Sebastião Rezende, Sérgio Ricardo e Wagner Ramos; da Bancada do Partido Progressista - Airton Português e Wilson Teixeira - Dentinho; da Bancada do Partido do Movimento Democrático Brasileiro - Benedito Pinto e Nilson Santos; da Bancada do Partido dos Trabalhadores - Ademir Brunetto e Ságuas; da Bancada do Partido Popular Socialista - Pedro Satélite; da Bancada do Partido Socialista Brasileiro - Professora Vilma; da ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO ATA DA CENTÉSIMA DÉCIMA QUARTA SESSÃO ORDINÁRIA DO DIA 16 DE DEZEMBRO DE 2010, ÀS 08:00 HORAS. Pág. 113 - Secretaria de Serviços Legislativos Bancada do Partido da Social Democracia Brasileira - Guilherme Maluf; da Bancada dos Democratas - Dilceu Dal Bosco, Chica Nunes, José Domingos Fraga e Joaquim Sucena. Deixaram de comparecer os Srs. Deputados: Dr. Antônio Azambuja e Maksuês Leite, do PP; Adalto de Freitas - Daltinho, do PMDB; Percival Muniz, do PPS; Otaviano Pivetta, do PDT.","portal_casa","brutos/almt/documentos/doc_173998.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2010-12-16","em_exercicio"
"composicao","MT","2006",NA,"Dr. Antônio Azambuja",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/173998","Compareceram à Sessão os seguintes Srs. Deputados: da Bancada do Partido da República - J. Barreto, João Malheiros, Mauro Savi, Sebastião Rezende, Sérgio Ricardo e Wagner Ramos; da Bancada do Partido Progressista - Airton Português e Wilson Teixeira - Dentinho; da Bancada do Partido do Movimento Democrático Brasileiro - Benedito Pinto e Nilson Santos; da Bancada do Partido dos Trabalhadores - Ademir Brunetto e Ságuas; da Bancada do Partido Popular Socialista - Pedro Satélite; da Bancada do Partido Socialista Brasileiro - Professora Vilma; da ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO ATA DA CENTÉSIMA DÉCIMA QUARTA SESSÃO ORDINÁRIA DO DIA 16 DE DEZEMBRO DE 2010, ÀS 08:00 HORAS. Pág. 113 - Secretaria de Serviços Legislativos Bancada do Partido da Social Democracia Brasileira - Guilherme Maluf; da Bancada dos Democratas - Dilceu Dal Bosco, Chica Nunes, José Domingos Fraga e Joaquim Sucena. Deixaram de comparecer os Srs. Deputados: Dr. Antônio Azambuja e Maksuês Leite, do PP; Adalto de Freitas - Daltinho, do PMDB; Percival Muniz, do PPS; Otaviano Pivetta, do PDT.","portal_casa","brutos/almt/documentos/doc_173998.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2010-12-16","em_exercicio"
"composicao","PA","2014","M2014_PA_7_77777_140000000177","Eliel Faustino",NA,NA,NA,NA,NA,NA,"https://web.archive.org/web/20181221000249/http://alepa.pa.gov.br/Principal","Representantes do Povo  FILTRAR POR [...] Escolha um Deputado Hilton Aguiar  Eliel Faustino  Marcio Miranda Haroldo Martins Olival","wayback_portal_casa","brutos/wayback/wb_20181221_Principal.html","alta",NA,"data_raw/assembleias3/PA/composicao_final.csv","trecho_nao_encontrado_no_bruto",FALSE,"2018-12-21","em_exercicio"
"composicao","PA","2014","M2014_PA_7_77123_140000000180","Hilton Aguiar",NA,NA,NA,NA,NA,NA,"https://web.archive.org/web/20181221000249/http://alepa.pa.gov.br/Principal","Representantes do Povo  FILTRAR POR [...] PROS PATRIOTA Escolha um Deputado  Hilton Aguiar  Eliel Faustino Marcio Miranda Haroldo","wayback_portal_casa","brutos/wayback/wb_20181221_Principal.html","alta",NA,"data_raw/assembleias3/PA/composicao_final.csv","trecho_nao_encontrado_no_bruto",FALSE,"2018-12-21","em_exercicio"
"composicao","PA","2014","M2014_PA_7_25123_140000000055","Marcio Miranda",NA,NA,NA,NA,NA,NA,"https://web.archive.org/web/20181221000249/http://alepa.pa.gov.br/Principal","Representantes do Povo  FILTRAR POR [...] Deputado Hilton Aguiar Eliel Faustino  Marcio Miranda  Haroldo Martins Olival Marques Raimundo","wayback_portal_casa","brutos/wayback/wb_20181221_Principal.html","alta",NA,"data_raw/assembleias3/PA/composicao_final.csv","trecho_nao_encontrado_no_bruto",FALSE,"2018-12-21","em_exercicio"
