"tabela","id_mandato","nome","forma","achou","url","trecho","url_2","trecho_2","data_evento","precisao"
"eventos_governos_fonte_oficial.csv","M2014_MT_4_12_110000000002","CARLOS HENRIQUE BAQUETA FÁVARO","renuncia",FALSE,NA,NA,NA,NA,"2018-04-05","ato"
"eventos_governos_fonte_oficial.csv","M2014_RO_3_15_220000000187","CONFUCIO AIRES MOURA","renuncia",TRUE,"https://rondonia.ro.gov.br/posse-e-transmissao-de-cargo-ao-governador-daniel-pereira/","Daniel Pereira tomou posse nessa sexta-feira, dia 6, na Assembleia Legislativa de Rondônia. Em seguida, o agora ex-governador Confúcio Moura transmitiu o cargo a ele.",NA,NA,"2018-04-06","ato"
"eventos_governos_fonte_oficial.csv","M2014_RO_4_15_220000000188","DANIEL PEREIRA","assumiu_titular",TRUE,"https://rondonia.ro.gov.br/posse-e-transmissao-de-cargo-ao-governador-daniel-pereira/","Daniel Pereira tomou posse nessa sexta-feira, dia 6, na Assembleia Legislativa de Rondônia. Em seguida, o agora ex-governador Confúcio Moura transmitiu o cargo a ele.",NA,NA,"2018-04-06","ato"
"eventos_governos_fonte_oficial.csv","M2018_AP_4_12_30000613619","JAIME DOMINGUEZ NUNES","fim_regular",FALSE,NA,NA,NA,NA,"2022-12-31","convencional"
"eventos_governos_fonte_oficial.csv","M2018_CE_3_13_60000610979","CAMILO SOBREIRA DE SANTANA","renuncia",TRUE,"https://www.fortaleza.ce.gov.br/noticias/primeira-mulher-governadora-efetiva-do-ceara-izolda-cela-toma-posse-neste-sabado-02-04","Na ocasião, também foi lida a carta de renúncia do ex-governador Camilo Santana, marcando a descompatibilização do gestor. Na sequência, houve a cerimônia de transmissão do cargo de Camilo Santana para Izolda Cela, no Palácio da Abolição.",NA,NA,"2022-04-02","ato"
"eventos_governos_fonte_oficial.csv","M2018_CE_4_13_60000610980","MARIA IZOLDA CELA DE ARRUDA COELHO","assumiu_titular",TRUE,"https://www.fortaleza.ce.gov.br/noticias/primeira-mulher-governadora-efetiva-do-ceara-izolda-cela-toma-posse-neste-sabado-02-04","Na ocasião, também foi lida a carta de renúncia do ex-governador Camilo Santana, marcando a descompatibilização do gestor. Na sequência, houve a cerimônia de transmissão do cargo de Camilo Santana para Izolda Cela, no Palácio da Abolição.",NA,NA,"2022-04-02","ato"
"eventos_governos_fonte_oficial.csv","M2018_MA_3_65_100000603926","FLÁVIO DINO DE CASTRO E COSTA","renuncia",TRUE,"https://www.al.ma.leg.br/noticias2/43213","A solenidade foi iniciada com a leitura da Carta Renúncia do governador Flávio Dino, lida pela 1ª secretária da Mesa Diretora, deputada Andreia Rezende (PSB), seguida do juramento à Constituição pelo empossado.",NA,NA,"2022-04-02","ato"
"eventos_governos_fonte_oficial.csv","M2018_MA_4_65_100000603919","CARLOS ORLEANS BRANDÃO JÚNIOR","assumiu_titular",TRUE,"https://www.al.ma.leg.br/noticias2/43213","A solenidade foi iniciada com a leitura da Carta Renúncia do governador Flávio Dino, lida pela 1ª secretária da Mesa Diretora, deputada Andreia Rezende (PSB), seguida do juramento à Constituição pelo empossado.",NA,NA,"2022-04-02","ato"
"eventos_governos_fonte_oficial.csv","M2018_PA_4_15_140000621336","LUCIO DUTRA VALE","renuncia",TRUE,"https://www.alepa.pa.gov.br/Comunicacao/Noticia/6594/deputados-aprovam-projetos-de-lei-e-fazem-arguicao-de-lucio-vale","Lúcio Vale (PL), que deixará o cargo para assumir a vaga de Conselheiro no Tribunal de Contas do Município (TCM-PA)",NA,NA,"2021-04-23","intervalo"
"eventos_governos_fonte_oficial.csv","M2018_RJ_3_20_190000612301","WILSON JOSÉ WITZEL","impeachment",TRUE,"https://www.alerj.rj.gov.br/Visualizar/Noticia/50487","Por unanimidade, o Tribunal Especial Misto (TEM) decidiu pelo impeachment do governador Wilson Witzel, nesta sexta-feira (30/04).",NA,NA,"2021-04-30","ato"
